vrad_min,vrad_max,vrad_step,n_samples,true_mean_mps,pred_mean_mps,bias_mps,std_mps,mae_mps,median_abs_err_mps,rmse_mps,min_residual_mps,max_residual_mps,pearson_r
-16.5,13.5,0.1,30,-3.031649005909761e-14,-4.5474735088646414e-14,-1.5158245029548804e-14,16.162960943362297,13.716493185859129,13.917377422173217,15.891295192906709,-22.513138959894377,33.11132500235726,0.7707601781967248
-16.49,13.510000000000002,0.1,30,7.579122514774402e-14,4.5474735088646414e-14,-3.031649005909761e-14,14.869356000266347,12.973597538581734,12.673620142742152,14.619433057882292,-20.07636662737093,28.375605903985388,0.7844996471907043
-16.479999999999997,13.520000000000003,0.1,30,-1.1368683772161604e-14,-5.3053857603420815e-14,-4.168517383125921e-14,13.101566870217637,11.420522233528242,11.258438532288494,12.881356785666055,-17.29175045389161,24.9423110834025,0.799498382566428
-16.469999999999995,13.530000000000005,0.1,30,7.958078640513122e-14,0.0,-7.958078640513122e-14,10.725071729125174,9.300410534579733,8.852762091312343,10.544805584190923,-14.960146595536798,18.889362094290846,0.8226368835408354
-16.459999999999994,13.540000000000006,0.1,30,1.0610771520684163e-13,-3.789561257387201e-14,-1.4400332778071363e-13,8.998968590687946,7.616804558646739,6.866424016754365,8.847714648784468,-13.050225730119678,18.6372282237661,0.83513779253184
-16.449999999999992,13.550000000000008,0.1,30,1.6295113406764964e-13,-3.031649005909761e-14,-1.9326762412674725e-13,7.652002976244325,6.2992899926618175,5.106483266074804,7.52338872429419,-11.596317295161498,17.884981754981595,0.8147963164856048
-16.43999999999999,13.56000000000001,0.1,30,1.8947806286936004e-14,1.5158245029548804e-14,-3.789561257387201e-15,7.32447458050359,5.9421118835765245,4.9558932455944955,7.201365399544852,-10.74466037752893,16.30330336834936,0.8151863958275951
-16.42999999999999,13.570000000000011,0.1,30,-6.442254137558242e-14,-1.5158245029548804e-14,4.9264296346033615e-14,7.076764946040536,5.843310196051876,4.785313702576843,6.9578192487391135,-10.529314096692133,14.769927648366206,0.8297821381895442
-16.419999999999987,13.580000000000013,0.1,30,3.789561257387201e-15,2.2737367544323207e-14,1.8947806286936004e-14,6.7801381470099225,5.689435007028529,4.788665011461092,6.666178129142253,-10.430384858114394,15.007902712039026,0.8476357585160971
-16.409999999999986,13.590000000000014,0.1,30,6.821210263296962e-14,7.579122514774402e-15,-6.063298011819522e-14,6.703000978740928,5.619758899993174,4.493354501989984,6.590337476207253,-10.50525121542546,14.869489955777112,0.8471491511569932
-16.399999999999984,13.600000000000016,0.1,30,-2.6526928801710407e-14,-5.3053857603420815e-14,-2.6526928801710407e-14,6.6392934341717025,5.567723621878519,4.478077139843435,6.527700722934604,-10.428200126597744,14.602461438091723,0.8469991165240284
-16.389999999999983,13.610000000000017,0.1,30,1.3263464400855204e-13,3.031649005909761e-14,-1.0231815394945443e-13,6.696250538454011,5.653760910064205,4.522865782061558,6.583700496778955,-10.412821121965976,14.650338987655346,0.8472651778222876
-16.37999999999998,13.620000000000019,0.1,30,2.2737367544323207e-14,5.3053857603420815e-14,3.031649005909761e-14,6.6532567690077595,5.613760241334929,4.640167997689048,6.541429363159297,-10.586984543630365,14.556547164168137,0.8432581304066257
-16.36999999999998,13.63000000000002,0.1,30,8.715990891990563e-14,1.5158245029548804e-14,-7.200166389035682e-14,6.660105315404286,5.639402903191698,4.824313635888416,6.548162799737589,-10.79854633273294,14.04738345807732,0.8447430481389421
-16.359999999999978,13.640000000000022,0.1,30,-1.5537201155287524e-13,-1.5158245029548804e-14,1.4021376652332644e-13,6.629615115508931,5.5963616610922635,4.598668489387478,6.5181850766752305,-10.758355393065358,14.103368419513686,0.8440513732831074
-16.349999999999977,13.650000000000023,0.1,30,0.0,0.0,0.0,6.5858692169101705,5.585990750583134,4.6309088862597605,6.475174455629502,-10.659344557499708,13.711023163335085,0.8414215167595893
-16.339999999999975,13.660000000000025,0.1,30,3.789561257387201e-14,1.5158245029548804e-14,-2.2737367544323207e-14,6.502910974076301,5.518852322252701,4.560024624319055,6.393610568283771,-10.40125594734593,13.184128576633839,0.8414958769323886
-16.329999999999973,13.670000000000027,0.1,30,2.1979455292845766e-13,1.5158245029548804e-14,-2.0463630789890886e-13,6.489786144188728,5.500083142503354,4.605974511214697,6.380706339483678,-10.530162956205231,13.127285050767455,0.8399050914831896
-16.319999999999972,13.680000000000028,0.1,30,-5.684341886080802e-14,-5.3053857603420815e-14,3.789561257387201e-15,6.426857263828952,5.439401899785022,4.417406391694442,6.318835162694935,-10.664033266848833,12.876347086302303,0.8403551447766126
-16.30999999999997,13.69000000000003,0.1,30,-1.3263464400855204e-13,1.5158245029548804e-14,1.4779288903810084e-13,6.346402944744726,5.371894632317082,4.314257985542099,6.239733113349406,-10.368722188989636,12.6664800538681,0.840854092240946
-16.29999999999997,13.700000000000031,0.1,30,4.5474735088646414e-14,-5.3053857603420815e-14,-9.852859269206723e-14,6.2870116362428785,5.29804295275103,4.252204351205421,6.181340049194693,-10.662892996015444,12.517786204213849,0.8366496569295642
-16.289999999999967,13.710000000000033,0.1,30,-5.684341886080802e-14,4.5474735088646414e-14,1.0231815394945443e-13,6.321854417010178,5.352191144599347,4.240633783920146,6.215597195298994,-10.491001038591776,12.481382526858056,0.8388946686717367
-16.279999999999966,13.720000000000034,0.1,30,1.0610771520684163e-13,5.3053857603420815e-14,-5.3053857603420815e-14,6.251452118230332,5.2988124623000505,4.257124140494284,6.146378212707242,-10.436468783413034,12.382482224873229,0.8362970409121537
-16.269999999999964,13.730000000000036,0.1,30,2.6526928801710407e-14,3.789561257387201e-14,1.1368683772161604e-14,6.273539536334702,5.2925886470817165,4.4519081273825805,6.168094387260635,-10.495514685120497,12.45941523989211,0.8363324856513374
