wave_val,flux_val,flux_err
3800.004,0.5171812664312457,0.001
3800.01,0.51946285734623,0.001
3800.016,0.5218417101728076,0.001
3800.022,0.5239840251373269,0.001
3800.028,0.5255534022002418,0.001
3800.034,0.5263843276048465,0.001
3800.04,0.5265390413693883,0.001
3800.046,0.5262352642710906,0.001
3800.052,0.5257447104880494,0.001
3800.058,0.5252916300883271,0.001
3800.064,0.5249376704533312,0.001
3800.07,0.5244773770958101,0.001
3800.076,0.523396767911971,0.001
3800.082,0.5209466324227172,0.001
3800.088,0.5163724844736279,0.001
3800.094,0.5092968777553348,0.001
3800.1,0.5001266855167463,0.001
3800.106,0.4902247166174346,0.001
3800.112,0.4816156018306669,0.001
3800.118,0.4762622045165038,0.001
3800.124,0.47526568290503646,0.001
3800.13,0.47843205125773086,0.001
3800.136,0.4844322549956403,0.001
3800.142,0.49143026692692066,0.001
3800.148,0.49779883979673833,0.001
3800.154,0.5025342221587042,0.001
3800.16,0.5052188131271051,0.001
3800.166,0.5056925694177589,0.001
3800.172,0.5037497603169179,0.001
3800.178,0.49909434303906053,0.001
3800.184,0.49157023972533426,0.001
3800.19,0.48149266148041864,0.001
3800.196,0.4698510917596629,0.001
3800.202,0.45823610290181505,0.001
3800.208,0.44847748372406665,0.001
3800.214,0.44210162698984745,0.001
3800.22,0.43979308845716636,0.001
3800.226,0.4410516352906061,0.001
3800.232,0.4441793583173853,0.001
3800.238,0.4466595881680604,0.001
3800.244,0.4459002511031852,0.001
3800.25,0.4401479849528591,0.001
3800.256,0.4291741395455229,0.001
3800.262,0.4143233656230193,0.001
3800.268,0.3978559237791308,0.001
3800.274,0.3819581463638242,0.001
3800.28,0.36791824819514973,0.001
3800.286,0.35572173410836383,0.001
3800.292,0.34409117154662705,0.001
3800.298,0.33100731132247074,0.001
3800.304,0.3147279598923825,0.001
3800.31,0.2949670321360178,0.001
3800.316,0.2735215095017765,0.001
3800.322,0.2538528300656614,0.001
3800.328,0.23989247204087139,0.001
3800.334,0.2348357344839427,0.001
3800.34,0.24040389357358102,0.001
3800.346,0.25647027980215176,0.001
3800.352,0.2808366407700332,0.001
3800.358,0.30935354749249294,0.001
3800.364,0.33679468927311457,0.001
3800.37,0.35842163079298955,0.001
3800.376,0.37144198833958647,0.001
3800.382,0.3754536900730522,0.001
3800.388,0.37171076023779287,0.001
3800.394,0.36193606707895604,0.001
3800.4,0.3476351080665399,0.001
3800.406,0.33029272101607665,0.001
3800.412,0.3119824924344773,0.001
3800.418,0.2955141144116346,0.001
3800.424,0.2836631220783518,0.001
3800.43,0.2779071223065253,0.001
3800.436,0.2776139915450651,0.001
3800.442,0.28032936372265493,0.001
3800.448,0.28299521448872395,0.001
3800.454,0.2832933095447049,0.001
3800.46,0.28032522420311673,0.001
3800.466,0.27442438881854864,0.001
3800.472,0.26649552776863744,0.001
3800.478,0.25742171977955713,0.001
3800.484,0.247806023305654,0.001
3800.49,0.23799450204143055,0.001
3800.496,0.22820526093410154,0.001
3800.502,0.21863189697964722,0.001
3800.508,0.20947270810216334,0.001
3800.514,0.20089574310826638,0.001
3800.52,0.192980497704226,0.001
3800.526,0.1856813611159146,0.001
3800.532,0.1788328778118651,0.001
3800.538,0.17217338837678578,0.001
3800.544,0.16533215225413322,0.001
3800.55,0.15774593150223312,0.001
3800.556,0.1485701690768781,0.001
3800.562,0.1367759119128914,0.001
3800.568,0.12159903378158951,0.001
3800.574,0.10319350470675613,0.001
3800.58,0.08297077046357904,0.001
3800.586,0.06319960001444104,0.001
3800.592,0.04605980604480285,0.001
3800.598,0.032823040756728046,0.001
3800.604,0.023643915219787252,0.001
3800.61,0.017894527172080107,0.001
3800.616,0.014672300136715773,0.001
3800.622,0.013193469636990642,0.001
3800.628,0.012997004846641748,0.001
3800.634,0.014014859868881763,0.001
3800.64,0.01657795824039562,0.001
3800.646,0.02136903747293111,0.001
3800.652,0.029265934136970092,0.001
3800.658,0.04100678874142091,0.001
3800.664,0.0567059079325511,0.001
3800.67,0.07544716133544267,0.001
3800.676,0.0953172996904787,0.001
3800.682,0.11405042106068973,0.001
3800.688,0.12994756830537924,0.001
3800.694,0.14242226491567903,0.001
3800.7,0.15184377159549853,0.001
3800.706,0.15897467389220662,0.001
3800.712,0.16452655267347505,0.001
3800.718,0.16906047780020586,0.001
3800.724,0.17310064327863794,0.001
3800.73,0.17724153185932978,0.001
3800.736,0.18213990950328385,0.001
3800.742,0.18840371051160534,0.001
3800.748,0.19644367084589018,0.001
3800.754,0.2063577053783252,0.001
3800.76,0.21790106353263902,0.001
3800.766,0.23056433664581893,0.001
3800.772,0.24373598326115561,0.001
3800.778,0.25688256601347365,0.001
3800.784,0.26966898221184266,0.001
3800.79,0.2819738811284131,0.001
3800.796,0.29380342763503664,0.001
3800.802,0.3051285438510002,0.001
3800.808,0.3156622682022893,0.001
3800.814,0.3246012743674139,0.001
3800.82,0.3304332179848131,0.001
3800.826,0.33103767153767233,0.001
3800.832,0.32432325123793815,0.001
3800.838,0.309351422017964,0.001
3800.844,0.28738117196778423,0.001
3800.85,0.2620426766350425,0.001
3800.856,0.2383582473541929,0.001
3800.862,0.22122104247146082,0.001
3800.868,0.2142776186873349,0.001
3800.874,0.2195772977933859,0.001
3800.88,0.2375690881604312,0.001
3800.886,0.2669455866866195,0.001
3800.892,0.3044634433300123,0.001
3800.898,0.3453650310147257,0.001
3800.904,0.38467437615800715,0.001
3800.91,0.4187484966411258,0.001
3800.916,0.4460695059302846,0.001
3800.922,0.4668456966806286,0.001
3800.928,0.4818761353069443,0.001
3800.934,0.49144351299977745,0.001
3800.94,0.494720324229729,0.001
3800.946,0.4898752059882336,0.001
3800.952,0.47495829603761247,0.001
3800.958,0.44940037480068457,0.001
3800.964,0.4154310992089606,0.001
3800.97,0.37842065608809,0.001
3800.976,0.3456753902283425,0.001
3800.982,0.3242680586362662,0.001
3800.988,0.3190039568588616,0.001
3800.994,0.3311766640551658,0.001
3801.0,0.35813908864865956,0.001
3801.006,0.39373031596034175,0.001
3801.012,0.4298713870141999,0.001
3801.018,0.4592218024855055,0.001
3801.024,0.47777096052053053,0.001
3801.03,0.4858670551229018,0.001
3801.036,0.4871379269268264,0.001
3801.042,0.48614980226743887,0.001
3801.048,0.4861968949333741,0.001
3801.054,0.48813775917513924,0.001
3801.06,0.4904542716763891,0.001
3801.066,0.49026901178853866,0.001
3801.072,0.4848627785636977,0.001
3801.078,0.47309492565646777,0.001
3801.084,0.4561244573095592,0.001
3801.09,0.43713513330370685,0.001
3801.096,0.42028327754895556,0.001
3801.102,0.4094395563358268,0.001
3801.108,0.4072301150143611,0.001
3801.114,0.41453289842429286,0.001
3801.12,0.4303102798502797,0.001
3801.126,0.45167281708859863,0.001
3801.132,0.4742679212116004,0.001
3801.138,0.4931793313971044,0.001
3801.144,0.5043018130835369,0.001
3801.15,0.5057231645135319,0.001
3801.156,0.49839487212755784,0.001
3801.162,0.485648609105974,0.001
3801.168,0.4718241083964181,0.001
3801.174,0.4608714005173946,0.001
3801.18,0.4557330933572961,0.001
3801.186,0.45856469283904366,0.001
3801.192,0.47102589538908396,0.001
3801.198,0.49381714839769425,0.001
3801.204,0.5255775499953743,0.001
3801.21,0.5623106990997829,0.001
3801.216,0.5983860614895162,0.001
3801.222,0.6287712827317772,0.001
3801.228,0.6509412280380674,0.001
3801.234,0.6652168403616551,0.001
3801.24,0.6736770372365866,0.001
3801.246,0.6787300606361233,0.001
3801.252,0.6822195588223899,0.001
3801.258,0.6851924389891008,0.001
3801.264,0.6879991439776986,0.001
3801.27,0.6904100953880666,0.001
3801.276,0.6916355092805229,0.001
3801.282,0.6903009918045405,0.001
3801.288,0.68452867543213,0.001
3801.294,0.6723200130306649,0.001
3801.3,0.6523598221552801,0.001
3801.306,0.6250755207103471,0.001
3801.312,0.5934084922325489,0.001
3801.318,0.5626461999611049,0.001
3801.324,0.539072923017114,0.001
3801.33,0.5278877118982227,0.001
