wave_val,flux_val,flux_err
3800.004,0.5221410404331693,0.001
3800.01,0.5226350999494832,0.001
3800.016,0.5232931839129806,0.001
3800.022,0.5240539857235897,0.001
3800.028,0.5248220912633732,0.001
3800.034,0.5254727642767388,0.001
3800.04,0.5259106561158399,0.001
3800.046,0.5260745022621154,0.001
3800.052,0.5259091654352402,0.001
3800.058,0.5253484542956732,0.001
3800.064,0.5242978026682348,0.001
3800.07,0.5226302078617411,0.001
3800.076,0.5202070150380914,0.001
3800.082,0.5169253857721036,0.001
3800.088,0.5127811937410284,0.001
3800.094,0.5079254142615099,0.001
3800.1,0.5026886073488543,0.001
3800.106,0.49755458871101843,0.001
3800.112,0.4930801640614119,0.001
3800.118,0.48977774257744466,0.001
3800.124,0.487993508847681,0.001
3800.13,0.4878180607598929,0.001
3800.136,0.4890563275420168,0.001
3800.142,0.49126329832769966,0.001
3800.148,0.49383075104955265,0.001
3800.154,0.4960971164146192,0.001
3800.16,0.4974523825921857,0.001
3800.166,0.49742009987147534,0.001
3800.172,0.4957116062455482,0.001
3800.178,0.49225582996193623,0.001
3800.184,0.4872080032632601,0.001
3800.19,0.4809348487411252,0.001
3800.196,0.47396867340018245,0.001
3800.202,0.4669243919256143,0.001
3800.208,0.4603837260180458,0.001
3800.214,0.4547661434472974,0.001
3800.22,0.45021912807298486,0.001
3800.226,0.44656348797205986,0.001
3800.232,0.4433185271084701,0.001
3800.238,0.4398088114084343,0.001
3800.244,0.43532652707075736,0.001
3800.25,0.4293018187421794,0.001
3800.256,0.4214276550469152,0.001
3800.262,0.4116998706897699,0.001
3800.268,0.40036329842397933,0.001
3800.274,0.3877903771856455,0.001
3800.28,0.3743452053842959,0.001
3800.286,0.3602922163128631,0.001
3800.292,0.3457907013463935,0.001
3800.298,0.3309803485445856,0.001
3800.304,0.31612272486308773,0.001
3800.31,0.3017355156357021,0.001
3800.316,0.28865226407456995,0.001
3800.322,0.2779628362157895,0.001
3800.328,0.2708309756984991,0.001
3800.334,0.268230134285332,0.001
3800.34,0.27067114134052817,0.001
3800.346,0.2780038031521404,0.001
3800.352,0.289356219612565,0.001
3800.358,0.30323657577869073,0.001
3800.364,0.31777541311161533,0.001
3800.37,0.3310474839596435,0.001
3800.376,0.3413939497676679,0.001
3800.382,0.3476728086399288,0.001
3800.388,0.34939293165112856,0.001
3800.394,0.34672214069352786,0.001
3800.4,0.340388326930609,0.001
3800.406,0.3315067283616035,0.001
3800.412,0.32136774472277785,0.001
3800.418,0.3112161775471708,0.001
3800.424,0.3020517514533687,0.001
3800.43,0.29448241435504197,0.001
3800.436,0.2886596159327343,0.001
3800.442,0.2843114455464555,0.001
3800.448,0.28086497945739003,0.001
3800.454,0.27762234932314445,0.001
3800.46,0.2739389365858211,0.001
3800.466,0.26935536908129115,0.001
3800.472,0.2636561339552416,0.001
3800.478,0.25685594371588016,0.001
3800.484,0.24913732785186235,0.001
3800.49,0.24077106242455137,0.001
3800.496,0.23204518807085986,0.001
3800.502,0.22321512780162475,0.001
3800.508,0.2144748147941078,0.001
3800.514,0.20594181309337697,0.001
3800.52,0.19764886371171514,0.001
3800.526,0.18953791040783952,0.001
3800.532,0.18145761942716215,0.001
3800.538,0.1731695828752446,0.001
3800.544,0.1643703621927483,0.001
3800.55,0.15473508122624408,0.001
3800.556,0.1439826091161826,0.001
3800.562,0.13195314260055796,0.001
3800.568,0.11867932689949177,0.001
3800.574,0.10442702477606884,0.001
3800.58,0.08968601045744506,0.001
3800.586,0.0751050256131621,0.001
3800.592,0.061385169781064224,0.001
3800.598,0.04916204998117524,0.001
3800.604,0.03891248783436098,0.001
3800.61,0.030912813488592334,0.001
3800.616,0.025256512275723595,0.001
3800.622,0.021917570541007226,0.001
3800.628,0.020830909130418514,0.001
3800.634,0.021957744683495116,0.001
3800.64,0.025311521757407255,0.001
3800.646,0.03093543341145823,0.001
3800.652,0.03884021027376856,0.001
3800.658,0.04892556822207518,0.001
3800.664,0.06091598856537814,0.001
3800.67,0.07433846773648937,0.001
3800.676,0.08855658719062216,0.001
3800.682,0.10285583132295557,0.001
3800.688,0.1165569158515504,0.001
3800.694,0.1291245636651359,0.001
3800.7,0.14024249380291354,0.001
3800.706,0.14983917701840363,0.001
3800.712,0.15806613912565662,0.001
3800.718,0.16524343325684862,0.001
3800.724,0.17179099617796612,0.001
3800.73,0.17816088366348298,0.001
3800.736,0.1847784871348384,0.001
3800.742,0.19199555923076367,0.001
3800.748,0.20005622249419205,0.001
3800.754,0.20907781103780335,0.001
3800.76,0.21904857609272088,0.001
3800.766,0.22984199704463357,0.001
3800.772,0.24124289339574093,0.001
3800.778,0.25297588744474925,0.001
3800.784,0.2647248428718943,0.001
3800.79,0.27613475965062323,0.001
3800.796,0.28679553481027614,0.001
3800.802,0.2962180825914079,0.001
3800.808,0.3038235488298415,0.001
3800.814,0.30897058680210737,0.001
3800.82,0.311039449993292,0.001
3800.826,0.30957387238723044,0.001
3800.832,0.3044565534592544,0.001
3800.838,0.2960708495068214,0.001
3800.844,0.28539101316729504,0.001
3800.85,0.2739533382708949,0.001
3800.856,0.26369005511929827,0.001
3800.862,0.2566473785861642,0.001
3800.868,0.25464480159414354,0.001
3800.874,0.2589522920005935,0.001
3800.88,0.27005963102952774,0.001
3800.886,0.28758932338750387,0.001
3800.892,0.31036838898072167,0.001
3800.898,0.3366347070085107,0.001
3800.904,0.3643209527903074,0.001
3800.91,0.3913432213264442,0.001
3800.916,0.41582848582258636,0.001
3800.922,0.4362445401127149,0.001
3800.928,0.45143823756053747,0.001
3800.934,0.46062542316215227,0.001
3800.94,0.4633911211761002,0.001
3800.946,0.45974206517930444,0.001
3800.952,0.45021122620653703,0.001
3800.958,0.4359651908001242,0.001
3800.964,0.418834916005746,0.001
3800.97,0.4011966307164382,0.001
3800.976,0.38567457330298843,0.001
3800.982,0.37470517685237004,0.001
3800.988,0.3700660229314727,0.001
3800.994,0.3725049035341816,0.001
3801.0,0.381588366776091,0.001
3801.006,0.39582723364181804,0.001
3801.012,0.4130493153725081,0.001
3801.018,0.43090881308303736,0.001
3801.024,0.44737867091620964,0.001
3801.03,0.46108396539671537,0.001
3801.036,0.47139724925639165,0.001
3801.042,0.4783058783879564,0.001
3801.048,0.4821411118388241,0.001
3801.054,0.48329789518678634,0.001
3801.06,0.48205939661439695,0.001
3801.066,0.47858157724001027,0.001
3801.072,0.4730180719847879,0.001
3801.078,0.46570639379542955,0.001
3801.084,0.4573149761053366,0.001
3801.09,0.4488709819438414,0.001
3801.096,0.4416384704211401,0.001
3801.102,0.43687386592241956,0.001
3801.108,0.43553005399387945,0.001
3801.114,0.4379990727345659,0.001
3801.12,0.44397360583976386,0.001
3801.126,0.4524748551316663,0.001
3801.132,0.4620491648561432,0.001
3801.138,0.47109006299283024,0.001
3801.144,0.4782080109549492,0.001
3801.15,0.4825566153644646,0.001
3801.156,0.4840356670126668,0.001
3801.162,0.4833247034433225,0.001
3801.168,0.4817448244603019,0.001
3801.174,0.48098684938682396,0.001
3801.18,0.48276943988635945,0.001
3801.186,0.48849828221975206,0.001
3801.192,0.49899087333810643,0.001
3801.198,0.5143169456657083,0.001
3801.204,0.5337849016795275,0.001
3801.21,0.5560788391188639,0.001
3801.216,0.5795187175086925,0.001
3801.222,0.6023838801672288,0.001
3801.228,0.6232195664196433,0.001
3801.234,0.6410489402671018,0.001
3801.24,0.6554423055904576,0.001
3801.246,0.6664406170003181,0.001
3801.252,0.6743739743041168,0.001
3801.258,0.6796412025427723,0.001
3801.264,0.6825178842970033,0.001
3801.27,0.6830428398941567,0.001
3801.276,0.681007984679044,0.001
3801.282,0.6760521719884671,0.001
3801.288,0.6678383020256655,0.001
3801.294,0.6562732341284427,0.001
3801.3,0.6417124685244987,0.001
3801.306,0.6250821808637179,0.001
3801.312,0.6078593819826684,0.001
3801.318,0.5918828574759755,0.001
3801.324,0.5790191663284809,0.001
3801.33,0.570763285617575,0.001
3801.336,0.5678894788424514,0.001
3801.342,0.570265329058301,0.001
3801.348,0.5768957773039668,0.001
3801.354,0.5861888368737848,0.001
3801.36,0.5963592943773328,0.001
3801.366,0.6058418501304318,0.001
3801.372,0.6135889270728545,0.001
3801.378,0.6191778384811132,0.001
3801.384,0.6227249207336084,0.001
3801.39,0.6246700824766519,0.001
3801.396,0.6255293267284334,0.001
3801.402,0.6257064086458943,0.001
3801.408,0.6254165544945058,0.001
3801.414,0.6247246269098327,0.001
3801.42,0.6236576894326812,0.001
3801.426,0.6223308101086672,0.001
3801.432,0.6210281371620986,0.001
3801.438,0.6202032611393321,0.001
3801.444,0.6203936587679302,0.001
3801.45,0.6220731458220816,0.001
3801.456,0.6254857516720521,0.001
3801.462,0.6305103778084153,0.001
3801.468,0.6365985607689252,0.001
3801.474,0.6428114119990014,0.001
3801.48,0.6479610144392626,0.001
3801.486,0.6508395394965902,0.001
3801.492,0.6504976952012647,0.001
3801.498,0.6465146267229814,0.001
3801.504,0.6391887407850789,0.001
3801.51,0.6295810668407313,0.001
3801.516,0.6193671634888678,0.001
3801.522,0.610500707125738,0.001
3801.528,0.6047505787183776,0.001
3801.534,0.6032224357107645,0.001
3801.54,0.6059935831628883,0.001
3801.546,0.61196569792682,0.001
3801.552,0.6189810888400542,0.001
3801.558,0.6241774278738359,0.001
3801.564,0.6244993095747843,0.001
3801.57,0.617258511508583,0.001
3801.576,0.6006381182023508,0.001
3801.582,0.5740569646058284,0.001
3801.588,0.5383380476746786,0.001
3801.594,0.49565343165443965,0.001
3801.6,0.44925137733466775,0.001
3801.606,0.40301002669980657,0.001
3801.612,0.3608981949878962,0.001
3801.618,0.3264427782537265,0.001
3801.624,0.3022926765122162,0.001
3801.63,0.289934255508984,0.001
3801.636,0.2895720810913248,0.001
3801.642,0.3001632928991603,0.001
3801.648,0.3195933065708214,0.001
3801.654,0.3449915051455378,0.001
3801.66,0.37318230306152794,0.001
3801.666,0.4012319500036938,0.001
3801.672,0.42699344629611236,0.001
3801.678,0.44950552431669477,0.001
3801.684,0.4691063989396362,0.001
3801.69,0.4871956642027373,0.001
3801.696,0.505696565545481,0.001
3801.702,0.5263837605122696,0.001
3801.708,0.5502938651740809,0.001
3801.714,0.5774008738848208,0.001
3801.72,0.6066321472106164,0.001
3801.726,0.636172885139843,0.001
3801.732,0.663914216193679,0.001
3801.738,0.6878769766789548,0.001
3801.744,0.7064891186799218,0.001
3801.75,0.7186788599702737,0.001
3801.756,0.7238268247549522,0.001
3801.762,0.7216666367714162,0.001
3801.768,0.7122235841476058,0.001
3801.774,0.6958439788225642,0.001
3801.78,0.6733136536999553,0.001
3801.786,0.646013443170728,0.001
3801.792,0.6160278536596104,0.001
3801.798,0.5861192989346582,0.001
3801.804,0.5595074588902961,0.001
3801.81,0.5394484609223195,0.001
3801.816,0.528679739941809,0.001
3801.822,0.5288615963630181,0.001
3801.828,0.5401781977209664,0.001
3801.834,0.5612376446543156,0.001
3801.84,0.5893307689986514,0.001
3801.846,0.6209956295230433,0.001
3801.852,0.652732457509507,0.001
3801.858,0.6816651823059837,0.001
3801.864,0.7059717690998698,0.001
3801.87,0.7249941388047175,0.001
3801.876,0.7390499660864136,0.001
3801.882,0.7490570348273395,0.001
3801.888,0.7561157818686578,0.001
3801.894,0.7611745482165516,0.001
3801.9,0.7648458040045464,0.001
3801.906,0.7673796425663536,0.001
3801.912,0.768755711249937,0.001
3801.918,0.7688349314159272,0.001
3801.924,0.7675143626089008,0.001
3801.93,0.7648436055440088,0.001
3801.936,0.7610807774134516,0.001
3801.942,0.7566845302945142,0.001
3801.948,0.7522526658197136,0.001
3801.954,0.7484265891615742,0.001
3801.96,0.7457846564210813,0.001
3801.966,0.744747513397398,0.001
3801.972,0.7455153346753824,0.001
3801.978,0.7480500285709418,0.001
3801.984,0.7521047155526451,0.001
3801.99,0.7572898254093311,0.001
3801.996,0.7631542709251775,0.001
3802.002,0.7692563785666413,0.001
3802.008,0.7752050857067715,0.001
3802.014,0.7806651071016014,0.001
3802.02,0.7853343174475557,0.001
3802.026,0.7889114015027924,0.001
3802.032,0.7910742758973771,0.001
3802.038,0.79148625579614,0.001
3802.044,0.7898400030125303,0.001
3802.05,0.7859396146595269,0.001
