wave_val,flux_val,flux_err
3800.004,0.5224661473917431,0.001
3800.01,0.5230045044913043,0.001
3800.016,0.5236551588196715,0.001
3800.022,0.5243615819985941,0.001
3800.028,0.5250444266414935,0.001
3800.034,0.5255981485032221,0.001
3800.04,0.5259326116454692,0.001
3800.046,0.5259833761640228,0.001
3800.052,0.5256791810088903,0.001
3800.058,0.5249308439024967,0.001
3800.064,0.5236268010248174,0.001
3800.07,0.521643609113481,0.001
3800.076,0.5188769116298342,0.001
3800.082,0.5152889533796335,0.001
3800.088,0.5109582466229383,0.001
3800.094,0.5061113648979537,0.001
3800.1,0.5011192616545239,0.001
3800.106,0.49645054836807906,0.001
3800.112,0.49258834049728956,0.001
3800.118,0.48993028548262557,0.001
3800.124,0.4886981687720333,0.001
3800.13,0.4888814244614388,0.001
3800.136,0.490228883565525,0.001
3800.142,0.4922891737666314,0.001
3800.148,0.49448759937415954,0.001
3800.154,0.4962203004311355,0.001
3800.16,0.4969464413748841,0.001
3800.166,0.4962643519968978,0.001
3800.172,0.4939641843978339,0.001
3800.178,0.4900542080952085,0.001
3800.184,0.4847590028203939,0.001
3800.19,0.4784870690799009,0.001
3800.196,0.47176607185073743,0.001
3800.202,0.4651488328085649,0.001
3800.208,0.45910235344074,0.001
3800.214,0.4539022418136,0.001
3800.22,0.44956050530604597,0.001
3800.226,0.4458110528364039,0.001
3800.232,0.44216328224153706,0.001
3800.238,0.43801354165424017,0.001
3800.244,0.43278452000756173,0.001
3800.25,0.4260518209721907,0.001
3800.256,0.4176202204154123,0.001
3800.262,0.4075292457487943,0.001
3800.268,0.3959931470420068,0.001
3800.274,0.38330480276584655,0.001
3800.28,0.36974689150088985,0.001
3800.286,0.35555039023055285,0.001
3800.292,0.34092029695223436,0.001
3800.298,0.32611885257788287,0.001
3800.304,0.31156932321460873,0.001
3800.31,0.29792967884162946,0.001
3800.316,0.28609091258585745,0.001
3800.322,0.2770777921600557,0.001
3800.328,0.2718630657112059,0.001
3800.334,0.27113863093149704,0.001
3800.34,0.2751074736747389,0.001
3800.346,0.2833600091918452,0.001
3800.352,0.2948765893465827,0.001
3800.358,0.30816189840343905,0.001
3800.364,0.3214802103957692,0.001
3800.37,0.33313592151164934,0.001
3800.376,0.34173769539063353,0.001
3800.382,0.3463950529202558,0.001
3800.388,0.3468163297452457,0.001
3800.394,0.34329929839715206,0.001
3800.4,0.33662558405427884,0.001
3800.406,0.3278850314425433,0.001
3800.412,0.3182654763646045,0.001
3800.418,0.3088465021607923,0.001
3800.424,0.3004327173965653,0.001
3800.43,0.29345345600044787,0.001
3800.436,0.2879426891152528,0.001
3800.442,0.28359700342984107,0.001
3800.448,0.27989328109004935,0.001
3800.454,0.27623490624444214,0.001
3800.46,0.27209008605585167,0.001
3800.466,0.2670908791054715,0.001
3800.472,0.2610757812661536,0.001
3800.478,0.2540770726012389,0.001
3800.484,0.24626939660417965,0.001
3800.49,0.23790272999422168,0.001
3800.496,0.22923999917234697,0.001
3800.502,0.2205105887605217,0.001
3800.508,0.21188128898857764,0.001
3800.514,0.20344012090544566,0.001
3800.52,0.19518745328554882,0.001
3800.526,0.18703183276322896,0.001
3800.532,0.1787925842131402,0.001
3800.538,0.17021480164567754,0.001
3800.544,0.16100256478335367,0.001
3800.55,0.1508719961658321,0.001
3800.556,0.13961805085664242,0.001
3800.562,0.1271808178083608,0.001
3800.568,0.11369269278847935,0.001
3800.574,0.0994899490827452,0.001
3800.58,0.0850810103781435,0.001
3800.586,0.07107625953014969,0.001
3800.592,0.058096162693498925,0.001
3800.598,0.04668173403658622,0.001
3800.604,0.037231202215814406,0.001
3800.61,0.029978634110687703,0.001
3800.616,0.02501638570315414,0.001
3800.622,0.022348242346229653,0.001
3800.628,0.02194965543449578,0.001
3800.634,0.02380985499839364,0.001
3800.64,0.02793864740233615,0.001
3800.646,0.03433530209225683,0.001
3800.652,0.04293237501048899,0.001
3800.658,0.0535376365029388,0.001
3800.664,0.06579866297208657,0.001
3800.67,0.07920697432999582,0.001
3800.676,0.09314524725903879,0.001
3800.682,0.10696730714129275,0.001
3800.688,0.12009098208262628,0.001
3800.694,0.13208104961424594,0.001
3800.7,0.1427035130652559,0.001
3800.706,0.15194140236502549,0.001
3800.712,0.15997298216962624,0.001
3800.718,0.1671220544648167,0.001
3800.724,0.17379429497265161,0.001
3800.73,0.18041279303639274,0.001
3800.736,0.18736202678897906,0.001
3800.742,0.19494519472691293,0.001
3800.748,0.2033569680266203,0.001
3800.754,0.212672256637753,0.001
3800.76,0.22285019245940343,0.001
3800.766,0.2337501676787981,0.001
3800.772,0.24515367332053498,0.001
3800.778,0.2567834109153416,0.001
3800.784,0.26831169455179554,0.001
3800.79,0.2793548071034886,0.001
3800.796,0.28945827685913855,0.001
3800.802,0.2980873045608522,0.001
3800.808,0.30464232912035255,0.001
3800.814,0.3085175285822208,0.001
3800.82,0.30920811139294657,0.001
