loss,mae,val_loss,val_mae,learning_rate
0.01803196221590042,0.07400581985712051,0.008918053470551968,0.060734353959560394,0.0010000000474974513
0.006393399089574814,0.04606570675969124,0.0022491931449621916,0.03205600753426552,0.0010000000474974513
0.00499257817864418,0.03772427886724472,0.003102375427260995,0.037881866097450256,0.0010000000474974513
0.002531852340325713,0.03210601583123207,0.0025634977500885725,0.03264230862259865,0.0010000000474974513
0.002051317598670721,0.02884717285633087,0.0017721879994496703,0.030275071039795876,0.0010000000474974513
0.0018411889905110002,0.027125105261802673,0.0017006822163239121,0.026904208585619926,0.0010000000474974513
0.0016567723359912634,0.025182226672768593,0.0012370493495836854,0.02318263053894043,0.0010000000474974513
0.0013535987818613648,0.023365488275885582,0.0010987912537530065,0.02364579774439335,0.0010000000474974513
0.001383364899083972,0.023294655606150627,0.0008698488236404955,0.020671188831329346,0.0010000000474974513
0.0011537432437762618,0.021618792787194252,0.0007039823685772717,0.018307629972696304,0.0010000000474974513
0.001102335867471993,0.020846910774707794,0.0006699669756926596,0.01812996156513691,0.0010000000474974513
0.0009835719829425216,0.02015107497572899,0.0007419637404382229,0.019331680610775948,0.0010000000474974513
0.0011607451597228646,0.02048809453845024,0.0009068360086530447,0.02113528549671173,0.0010000000474974513
0.0009220960782840848,0.019007259979844093,0.0008181899902410805,0.01803533174097538,0.0010000000474974513
0.0009146889206022024,0.0189436674118042,0.00045141272130422294,0.01421435922384262,0.0010000000474974513
0.0008655524579808116,0.018560009077191353,0.000560860033147037,0.01561902929097414,0.0010000000474974513
0.000749995990190655,0.017476528882980347,0.0006849103956483305,0.017682502046227455,0.0010000000474974513
0.0008011186146177351,0.017694449052214622,0.0006235981127247214,0.016982149332761765,0.0010000000474974513
0.0007735742838121951,0.017573686316609383,0.0005692450213246047,0.016173075884580612,0.0010000000474974513
0.0007352848770096898,0.01715223304927349,0.0004137488722335547,0.013675905764102936,0.0010000000474974513
0.0007011335110291839,0.016748789697885513,0.0014535030350089073,0.02621329203248024,0.0010000000474974513
0.0006474361871369183,0.01630992442369461,0.00043353691580705345,0.013667182065546513,0.0010000000474974513
0.0006276114727370441,0.015985431149601936,0.0007330249063670635,0.019444648176431656,0.0010000000474974513
0.00034227801370434463,0.012015421874821186,0.00027826454606838524,0.01124269887804985,0.0005000000237487257
0.00033661711495369673,0.011919321492314339,0.00023548280296381563,0.010090882889926434,0.0005000000237487257
0.0003207822737749666,0.011601652018725872,0.0002662906190380454,0.010858633555471897,0.0005000000237487257
0.0003132058191113174,0.01146373525261879,0.0002594669349491596,0.01072304043918848,0.0005000000237487257
