species,wave,wave_vald,wave_l,wave_u,flux,flux_vald,flux_l,flux_u,depth,depth_vald,loggf,E_l,J_l,E_u,J_u,lande_l,lande_u,lande_m,damping_rad,damping_stark,damping_waals,vrad_info,crit_CaHK
Fe 1,3000.070138341347,3000.0639,3000.0,3000.13,0.1031026840209961,0.027000000000000024,0.42027298,0.22397095,0.8968973159790039,0.973,-0.964,2.4327,5.0,6.5654,4.0,1.04,1.21,0.7,7.67,-4.71,-7.5,8064672235.018806,True
Fe 1,3000.3857138402655,3000.3859,3000.14,3000.72,0.025482788681983948,0.0050000000000000044,0.22441024,0.45949107,0.974517211318016,0.995,-0.598,0.859,5.0,4.9913,5.0,1.4,1.39,1.4,8.78,-5.79,424.298,5114070127.467203,True
Cr 2,3000.807912863723,3000.8083,3000.73,3000.87,0.2660726308822632,0.18200000000000005,0.461697,0.44342223,0.7339273691177368,0.818,-0.94,4.0116,3.5,8.1433,4.5,1.14,1.14,1.12,8.29,-6.59,215.222,2979332652.547331,True
Fe 2,3000.9372954429373,3000.9362,3000.88,3001.02,0.22803771495819092,0.10299999999999998,0.4349351,0.47748923,0.7719622850418091,0.897,-1.608,3.8143,3.5,7.9458,2.5,0.9,0.62,1.25,8.59,-6.51,176.24,4770656608.622353,True
Fe 1,3001.0616889275134,3001.0801,3001.03,3001.13,0.4666515737771988,0.6859999999999999,0.47563115,0.49342322,0.5333484262228012,0.314,-2.596,3.6025,3.0,7.7338,4.0,1.66,1.61,1.55,8.86,-3.94,-7.29,28837611.493493482,True
Fe 1,3001.3305553338414,3001.3259,3001.14,3001.38,0.06045287847518921,0.01100000000000001,0.49364975,0.11602559,0.9395471215248108,0.989,-1.095,1.4849,4.0,5.6158,5.0,1.25,1.21,1.11,7.34,-6.23,-7.83,6450389546.56285,True
Co 1,3001.436420661974,3001.4223,3001.39,3001.51,0.08684813976287842,0.05700000000000005,0.11872765,0.15667999,0.9131518602371216,0.943,-2.12,0.1012,3.5,4.232,3.5,1.24,0.92,1.08,8.04,-6.1,307.284,788245380.821643,True
Fe 1,3001.8129656116935,3001.8225,3001.52,3002.01,0.019877400249242783,0.0050000000000000044,0.15636209,0.08324573,0.9801225997507572,0.995,-0.585,0.0873,2.0,4.2176,1.0,1.5,1.49,1.5,8.3,-6.16,277.264,1306974590.586342,True
V 2,3002.06390813101,3002.0791,3002.02,3002.43,0.07116413116455078,0.049000000000000044,0.0832051,0.49627414,0.9288358688354492,0.951,0.32,1.7037,3.0,5.8337,3.0,1.62,1.55,1.59,8.58,-6.46,-7.86,2631355755.178922,True
Fe 1,3002.5293496807953,3002.5228,3002.44,3002.56,0.23025739192962646,0.07899999999999996,0.49419835,0.2727453,0.7697426080703735,0.921,-2.24,2.4242,1.0,6.5535,1.0,1.5,1.25,1.37,8.19,-5.71,-7.71,2711318704.625404,True
V 2,3002.632229668232,3002.6252,3002.57,3002.74,0.11552906036376953,0.29200000000000004,0.27176356,0.45163995,0.8844709396362305,0.708,-0.32,2.5569,3.0,6.6861,3.0,1.26,1.37,1.32,8.49,-6.49,-7.86,6468991005.843018,True
Fe 1,3002.8043052206112,3002.8016,3002.75,3002.85,0.3266395330429077,0.16900000000000004,0.44801605,0.41013837,0.6733604669570923,0.831,-2.257,3.0176,3.0,7.1466,3.0,0.76,1.1,0.93,7.98,-5.72,-7.73,1076814461.3818607,True
Fe 1,3002.9059000197735,3002.9035,3002.86,3002.96,0.34280192852020264,0.44999999999999996,0.41085166,0.43139046,0.6571980714797974,0.55,-2.54,3.283,1.0,7.4118,2.0,1.5,1.66,1.75,7.68,-3.78,-7.12,617723332.1940782,True
Ni 1,3003.1019596663295,3003.102,3002.97,3003.09,0.2268121987581253,0.886,0.43569595,0.22751525,0.7731878012418747,0.114,-3.786,1.9508,1.0,6.0793,2.0,1.07,1.5,1.71,7.65,-4.85,-7.62,1317904734.6539655,True
Ni 1,3003.3604896419483,3003.3603,3002.97,3003.44,0.02436600625514984,0.0050000000000000044,0.43569595,0.05407213,0.9756339937448502,0.995,-0.227,0.0254,3.0,4.1536,3.0,1.2,1.33,1.27,8.15,-6.15,-7.81,3397377138.908967,True
Fe 2,3003.515308370217,3003.5198,3003.45,3003.76,0.032418981194496155,0.008000000000000007,0.054601572,0.26063225,0.9675810188055038,0.992,-0.93,1.6953,1.5,5.8232,2.5,1.74,1.59,1.48,8.5,-6.56,224.206,2105498477.0728567,True
Fe 1,3003.9051344295385,3003.9059,3003.77,3004.12,0.040919750928878784,0.008000000000000007,0.25988638,0.47147983,0.9590802490711212,0.992,-1.295,0.9582,3.0,5.0856,2.0,1.25,1.0,1.5,8.78,-5.79,-7.67,8612298140.547987,True
Fe 1,3004.225306825444,3004.2162,3004.13,3004.24,0.3966955840587616,0.506,0.4711614,0.40111068,0.6033044159412384,0.494,-2.948,2.9488,5.0,7.0758,6.0,1.2,1.03,0.6,7.93,-6.12,-7.79,156714362.94943964,True
