species,wave,wave_vald,wave_l,wave_u,flux,flux_vald,flux_l,flux_u,depth,depth_vald,loggf,E_l,J_l,E_u,J_u,lande_l,lande_u,lande_m,damping_rad,damping_stark,damping_waals,vrad_info,crit_CaHK
Cr 2,3004.3875432512905,3004.3672,3004.25,3004.38,0.11722404509782791,0.899,0.40141702,0.11880307,0.8827759549021721,0.101,-2.302,4.4272,5.5,8.554,4.5,1.09,0.97,1.36,8.41,-6.51,224.192,3469318455.862208,True
Ni 1,3004.5082704292636,3004.5026,3004.25,3004.72,0.02501489222049713,0.016000000000000014,0.40141702,0.36530295,0.9749851077795029,0.984,-2.353,0.1091,2.0,4.2357,2.0,1.19,1.15,1.17,8.07,-6.16,-7.82,8944985889.146873,True
Cr 2,3004.787570816804,3004.7919,3004.73,3004.88,0.24282944202423096,0.125,0.36289334,0.46114883,0.757170557975769,0.875,-0.736,3.8644,3.5,7.9906,2.5,1.25,1.38,1.08,8.39,-6.5,183.221,2593459862.1981945,True
Fe 1,3004.9732197011867,3004.989,3004.89,3005.06,0.11905336380004883,0.038000000000000034,0.4569999,0.6368127,0.8809466361999512,0.962,-1.382,2.4327,5.0,6.5586,5.0,1.04,0.83,0.93,8.04,-6.08,-7.79,15302362003.495073,True
Fe 2,3005.141055025514,3005.1312,3005.07,3005.31,0.3505767583847046,0.17700000000000005,0.6442615,0.6668526,0.6494232416152954,0.823,-2.163,3.8143,3.5,7.9401,3.5,0.9,0.98,0.94,8.59,-6.51,176.238,4093508014.317386,True
Cr 2,3005.326486310615,3005.3414,3005.32,3005.4,0.6631938517093658,0.681,0.6666653,0.80102164,0.33680614829063416,0.319,-1.695,4.41,2.5,8.5355,3.5,0.86,0.67,0.43,8.41,-6.49,185.221,406791042.39094645,True
Fe 1,3005.505572338967,3005.5041,3005.41,3005.65,0.23769474029541016,0.03200000000000003,0.8079821,0.8856416,0.7623052597045898,0.968,-2.237,1.5574,3.0,5.6826,4.0,1.09,1.16,1.27,7.8,-6.08,-7.81,16194405189.497717,True
Fe 1,3005.729990559532,3005.7287,3005.66,3005.79,0.8301409482955933,0.779,0.8841418,0.86957574,0.16985905170440674,0.221,-3.377,2.998,3.0,7.123,2.0,1.91,1.31,2.5,7.63,-4.44,-7.3,77080038.21083784,True
Cr 1,3005.9340007132937,3005.9369,3005.8,3006.06,0.16075515747070312,0.025000000000000022,0.8691788,0.8493913,0.8392448425292969,0.975,-0.25,1.03,4.0,5.1547,3.0,1.5,1.5,1.5,8.23,-6.0,384.285,21340491951.634945,True
Fe 1,3006.1774225568097,3006.1785,3006.07,3006.27,0.2032461166381836,0.03300000000000003,0.84555525,0.80328655,0.7967538833618164,0.967,-1.224,2.4041,6.0,6.5284,7.0,1.16,1.15,1.1,8.05,-6.08,-7.79,18502841434.570652,True
OH 1,3006.342105181705,3006.3465,3006.28,3006.49,0.6805787086486816,0.844,0.8101541,0.87499446,0.31942129135131836,0.156,-2.312,1.0954,10.5,5.2195,9.5,99.0,99.0,99.0,0.0,0.0,0.0,803936233.0923929,True
Co 1,3006.6282136332125,3006.6414,3006.5,3006.74,0.16528892517089844,0.21099999999999997,0.8784367,0.71577847,0.8347110748291016,0.789,-1.073,1.8826,2.5,6.0063,2.5,1.52,1.34,1.43,8.18,-5.98,-7.77,18296464934.574833,True
Fe 1,3006.8392565110385,3006.8492,3006.75,3006.95,0.287792444229126,0.08899999999999997,0.71773547,0.8549659,0.712207555770874,0.911,-1.726,2.998,3.0,7.1214,3.0,1.91,1.84,1.87,7.63,-4.05,-7.29,10904887471.185955,True
OH 1,3007.062405850239,3007.0491,3006.96,3007.09,0.572285532951355,0.765,0.8520293,0.59171593,0.427714467048645,0.235,-1.93,1.3018,14.5,5.4249,14.5,99.0,99.0,99.0,0.0,0.0,0.0,1214949083.2167482,True
V 1,3007.2152742923,3007.2285,3007.1,3007.33,0.08415180444717407,0.9,0.58685935,0.4522922,0.9158481955528259,0.1,-0.793,1.3505,3.5,5.4734,4.5,0.88,0.9,0.94,8.1,-6.1,-7.69,13966529486.194103,True
Fe 1,3007.460172471883,3007.4731,3007.34,3007.56,0.09368202090263367,0.08999999999999997,0.4510549,0.38350382,0.9063179790973663,0.91,-1.469,3.241,3.0,7.3635,3.0,1.5,1.17,1.34,7.8,-4.59,-7.26,9961167607.473938,True
Si 1,3007.6142443106205,3007.6149,3007.57,3007.67,0.2199716567993164,0.050000000000000044,0.37193447,0.416377,0.7800283432006836,0.95,-5.457,0.0096,1.0,4.1319,2.0,1.5,2.0,2.25,3.31,-6.42,-7.84,3973760223.5730824,True
Ca 1,3007.737873022368,3007.7378,3007.68,3007.85,0.15956497192382812,0.04600000000000004,0.4067774,0.6615212,0.8404350280761719,0.954,-0.279,1.8989,2.0,6.0211,2.0,1.5,1.5,1.5,8.19,-4.71,619.306,11163370209.04599,True
Fe 1,3008.032390757256,3008.0216,3007.86,3008.08,0.06095093488693237,0.01200000000000001,0.65944916,0.09871036,0.9390490651130676,0.988,-1.157,1.4849,4.0,5.6066,3.0,1.25,1.35,1.11,7.78,-6.22,-7.8,9502447521.709133,True
Fe 1,3008.1576756431955,3008.1588,3008.09,3008.31,0.03686651587486267,0.006000000000000005,0.09694899,0.39226466,0.9631334841251373,0.994,-1.732,0.0873,2.0,4.2089,2.0,1.5,1.49,1.5,6.88,-6.13,300.272,6128152300.109922,True
Fe 1,3008.3509384909585,3008.3606,3008.32,3008.44,0.3562571406364441,0.20999999999999996,0.3893368,0.5712374,0.6437428593635559,0.79,-2.836,2.5592,4.0,6.6805,4.0,1.24,1.35,1.29,6.51,-5.96,-7.8,1339386169.2318425,True
Mn 1,3008.542257967281,3008.5294,3008.45,3008.56,0.3922807574272156,0.31799999999999995,0.5720294,0.4028724,0.6077192425727844,0.682,-0.7,3.1344,2.5,7.2555,3.5,0.57,0.67,0.78,8.06,-6.17,350.24,836385814.4690912,True
Fe 1,3008.632176472384,3008.6274,3008.57,3008.67,0.3320845365524292,0.43999999999999995,0.4037745,0.35483724,0.6679154634475708,0.56,-3.2,2.5881,3.0,6.7091,2.0,1.07,1.7,0.45,8.35,-4.97,-7.5,265989806.91125292,True
Fe 1,3009.014504740499,3009.0146,3008.68,3009.29,0.02318190038204193,0.0050000000000000044,0.35457957,0.2505237,0.9768180996179581,0.995,-0.837,0.1101,1.0,4.2305,0.0,1.5,0.0,1.5,8.31,-6.16,278.264,4221324960.4685555,True
Fe 1,3009.3558268347,3009.3581,3009.3,3009.43,0.16598403453826904,0.10099999999999998,0.24952725,0.38608477,0.834015965461731,0.899,-1.579,3.2657,2.0,7.3857,2.0,1.5,1.82,1.66,7.74,-3.44,-7.12,3150241204.9798346,True
V 2,3009.5058185213434,3009.4911,3009.44,3009.63,0.20748841762542725,0.127,0.38440317,0.49339402,0.7925115823745728,0.873,-0.66,1.6752,1.0,5.795,2.0,2.39,1.48,1.02,8.26,-6.46,-7.87,3923984440.682291,True
Ce 2,3009.6551338180616,3009.663,3009.64,3009.77,0.48990291357040405,0.755,0.4960808,0.6786716,0.510097086429596,0.245,-0.32,0.32,4.5,4.4396,4.5,1.02,1.2,1.11,0.0,0.0,0.0,646965968.7476926,True
Fe 1,3009.970149437522,3009.97,3009.78,3010.03,0.07699865102767944,0.026000000000000023,0.67775625,0.16796552,0.9230013489723206,0.974,-0.936,2.4041,6.0,6.5232,5.0,1.16,1.03,1.49,8.02,-5.23,315.246,9671279582.808945,True
Ca 1,3010.0681816443193,3010.0826,3010.04,3010.16,0.14343160390853882,0.06699999999999995,0.16831294,0.45925793,0.8565683960914612,0.933,-0.764,1.8989,2.0,6.0179,1.0,1.5,1.5,1.5,8.18,-5.85,617.306,4434934425.677002,True
Fe 1,3010.4459258471543,3010.4461,3010.17,3010.91,0.028549790382385254,0.006000000000000005,0.46164548,0.7419934,0.9714502096176147,0.994,-0.758,0.9146,4.0,5.0331,4.0,1.35,1.33,1.34,8.78,-5.8,433.296,8742164244.97991,True
Fe 1,3011.046798258758,3011.0502,3010.92,3011.21,0.14034819602966309,0.039000000000000035,0.7419022,0.8250458,0.8596518039703369,0.961,-1.223,2.5592,4.0,6.6768,4.0,1.24,1.19,1.21,7.87,-4.29,-7.54,17195424894.990177,True
Ni 1,3011.301710039174,3011.3015,3011.22,3011.42,0.4478127956390381,0.16700000000000004,0.8242582,0.8855632,0.5521872043609619,0.833,-2.393,1.9354,2.0,6.0527,1.0,1.05,1.36,0.9,8.13,-5.11,-7.7,6224076496.319915,True
Cr 2,3011.509842043566,3011.5107,3011.43,3011.6,0.8251174688339233,0.859,0.88584775,0.89643294,0.17488253116607666,0.141,-0.063,6.8027,4.5,10.9197,4.5,1.33,1.33,1.33,8.46,-6.47,186.212,129188977.46554236,True
Cu 1,3011.718115202669,3011.7128,3011.61,3011.87,0.732758104801178,0.616,0.8968313,0.88716066,0.267241895198822,0.384,-2.787,1.3889,2.5,5.5057,2.5,1.23,1.43,1.33,5.48,-6.27,-7.84,585597994.4883081,True
Fe 1,3012.1499011601686,3012.1482,3011.88,3012.21,0.22069835662841797,0.061000000000000054,0.887017,0.43084356,0.779301643371582,0.939,-0.948,3.2657,2.0,7.3818,3.0,1.5,1.28,1.06,7.82,-3.65,-7.12,8215215254.290872,True
Fe 1,3012.3463549502667,3012.3439,3012.22,3012.48,0.09383010864257812,0.08899999999999997,0.42275327,0.6724475,0.9061698913574219,0.911,-2.213,2.5592,4.0,6.675,3.0,1.24,1.28,1.17,7.85,-4.57,-7.48,13277842494.220861,True
Zr 1,3012.618448442385,3012.6276,3012.49,3012.66,0.30349040031433105,0.657,0.6731221,0.35961097,0.696509599685669,0.343,0.03,0.0707,3.0,4.1862,2.0,1.06,1.1,1.02,0.0,0.0,0.0,3143160716.0167384,True
Ni 1,3012.87902489971,3012.8787,3012.67,3013.21,0.028700023889541626,0.0050000000000000044,0.3603807,0.5589295,0.9712999761104584,0.995,-0.167,0.4228,2.0,4.5379,2.0,1.01,1.01,1.01,8.33,-6.11,-7.79,8153998204.643328,True
Fe 1,3013.318571104664,3013.3193,3013.22,3013.5,0.16273093223571777,0.03200000000000003,0.56131935,0.8234871,0.8372690677642822,0.968,-1.135,2.4327,5.0,6.5472,5.0,1.04,1.17,1.1,7.75,-4.76,-7.51,13814114369.834785,True
Fe 1,3013.588707699786,3013.5897,3013.51,3013.66,0.6077539920806885,0.29700000000000004,0.8244842,0.84124166,0.3922460079193115,0.703,-2.312,3.2657,2.0,7.3799,3.0,1.5,1.12,0.75,8.22,-4.56,-7.32,1943580279.186482,True
Fe 1,3013.816252166718,3013.818,3013.67,3013.85,0.2616903781890869,0.08599999999999997,0.84622097,0.33915865,0.7383096218109131,0.914,-1.682,2.998,3.0,7.1119,3.0,1.91,1.33,1.62,7.64,-4.89,-7.29,5860205023.069031,True
Cr 1,3013.926469034461,3013.9069,3013.86,3014.08,0.1746702790260315,0.049000000000000044,0.34760055,0.88931376,0.8253297209739685,0.951,-1.07,0.961,0.0,5.0747,1.0,0.0,2.46,2.46,8.21,-5.36,-7.52,11816506965.454525,True
Zr 2,3014.1995993968026,3014.201,3014.09,3014.24,0.7249106168746948,0.519,0.88817316,0.7626521,0.2750893831253052,0.481,-1.28,0.5586,2.5,4.6719,1.5,1.17,1.91,0.62,0.0,0.0,0.0,347298594.1692588,True
Fe 1,3014.3692546630095,3014.3694,3014.25,3014.41,0.3316688537597656,0.09199999999999997,0.76043344,0.46304736,0.6683311462402344,0.908,-1.465,3.2657,2.0,7.3788,2.0,1.5,1.79,1.65,7.73,-3.78,-7.12,4250945421.530893,True
Co 1,3014.472042482457,3014.4713,3014.42,3014.52,0.28188610076904297,0.03700000000000003,0.47218785,0.45723724,0.718113899230957,0.963,-1.81,0.0,4.5,4.113,3.5,1.33,1.04,1.85,8.14,-6.11,293.281,3541622300.289393,True
Cr 1,3014.590011508489,3014.5901,3014.53,3014.68,0.16689157485961914,0.02400000000000002,0.45392594,0.56727266,0.8331084251403809,0.976,-0.25,0.9684,1.0,5.0812,2.0,1.5,1.76,1.89,8.28,-5.38,371.281,10874087691.589123,True
Fe 2,3014.694504231334,3014.6779,3014.69,3014.68,0.563756674528122,0.7150000000000001,0.566514,0.56727266,0.43624332547187805,0.285,-3.089,4.1536,3.5,8.2663,3.5,0.88,0.69,0.79,8.52,-6.53,173.217,0.0,True
OH 1,3014.82307785016,3014.8267,3014.78,3014.91,0.6722356081008911,0.789,0.73006344,0.89483273,0.3277643918991089,0.211,-1.911,1.3626,15.5,5.4751,15.5,99.0,99.0,99.0,0.0,0.0,0.0,895780228.1296642,True
Nd 2,3015.0466610110907,3015.0442,3014.92,3015.12,0.2005465030670166,0.8049999999999999,0.8940198,0.60926443,0.7994534969329834,0.195,-0.66,0.2046,4.5,4.3168,3.5,0.75,0.83,0.62,0.0,0.0,0.0,15759600577.72133,True
Fe 1,3015.1880889198164,3015.1925,3015.13,3015.32,0.32097578048706055,0.06999999999999995,0.6006289,0.9098893,0.6790242195129395,0.93,-2.049,2.4534,4.0,6.5654,4.0,0.81,1.21,1.01,7.67,-4.71,-7.5,9499936089.082144,True
Mn 1,3015.5418754469006,3015.5387,3015.33,3015.56,0.38596224784851074,0.276,0.9101503,0.41397795,0.6140377521514893,0.724,-0.622,3.1325,5.5,7.2441,5.5,1.27,1.13,1.2,8.03,-6.17,-7.82,4490610266.8503,True
Cr 1,3015.6681008798614,3015.6433,3015.57,3015.73,0.0580713152885437,0.020000000000000018,0.42344993,0.14522795,0.9419286847114563,0.98,-0.05,0.9684,1.0,5.0798,2.0,1.5,1.28,1.17,8.55,-5.71,-7.64,9012438843.532173,True
Cr 1,3015.7854314317196,3015.7924,3015.74,3015.95,0.08623373508453369,0.016000000000000014,0.14839119,0.75362325,0.9137662649154663,0.984,0.25,0.9829,2.0,5.094,3.0,1.5,1.25,0.99,8.59,-5.91,-7.68,11350777092.598253,True
Cr 1,3016.0743698864285,3016.0745,3015.96,3016.15,0.15326428413391113,0.02300000000000002,0.7519361,0.5845144,0.8467357158660889,0.977,-0.2,0.961,0.0,5.0718,1.0,0.0,0.0,0.0,8.6,-5.92,369.28,17081319349.48495,True
Fe 1,3016.2070360832413,3016.209,3016.16,3016.28,0.4763965606689453,0.19499999999999995,0.5919514,0.74519867,0.5236034393310547,0.805,-2.107,3.241,3.0,7.3516,3.0,1.5,0.95,1.22,8.32,-3.62,-7.37,2178713721.383451,True
Cr 2,3016.3802351464155,3016.3829,3016.29,3016.47,0.3041834831237793,0.10899999999999999,0.7461163,0.81412834,0.6958165168762207,0.891,0.023,4.4148,3.5,8.5251,3.5,1.14,1.15,1.15,8.4,-6.49,190.237,10714798293.49146,True
Dy 2,3016.5589909493133,3016.5606,3016.48,3016.64,0.5726535320281982,0.859,0.813933,0.8402402,0.42734646797180176,0.141,0.375,1.4128,7.5,5.5229,8.5,1.38,1.28,0.89,0.0,0.0,0.0,2388002983.3028083,True
Fe 1,3016.8082123614336,3016.7972,3016.65,3016.92,0.14464449882507324,0.03200000000000003,0.84375465,0.478446,0.8553555011749268,0.968,-1.14,2.4327,5.0,6.5425,4.0,1.04,0.81,1.49,8.08,-6.05,317.247,13317603361.113337,True
Fe 1,3017.059635891094,3017.0632,3016.93,3017.17,0.04416787624359131,0.009000000000000008,0.4845193,0.28355,0.9558321237564087,0.991,-1.441,0.9901,2.0,5.0995,1.0,1.0,-0.01,1.5,8.78,-5.78,450.294,12072867890.060915,True
Fe 1,3017.196929567409,3017.2194,3017.18,3017.27,0.2712533473968506,0.10699999999999998,0.2829997,0.55965203,0.7287466526031494,0.893,-2.361,2.5881,3.0,6.6973,4.0,1.07,1.2,1.38,7.78,-4.72,-7.49,3208466330.1528225,True
Mn 1,3017.3268303001687,3017.3299,3017.28,3017.49,0.4504420757293701,0.16700000000000004,0.5701837,0.83774894,0.5495579242706299,0.833,-0.33,3.135,4.5,7.2441,5.5,1.17,1.13,1.04,8.03,-6.17,349.239,3180434942.932906,True
V 2,3017.6533552481487,3017.659,3017.5,3017.8,0.22582650184631348,0.06999999999999995,0.8374824,0.81966543,0.7741734981536865,0.93,-0.05,1.7037,3.0,5.8124,2.0,1.62,1.68,1.56,8.56,-6.46,-7.86,14161057983.447435,True
OH 1,3018.0953125921933,3018.0827,3017.81,3018.22,0.08595827221870422,0.772,0.81929284,0.42721665,0.9140417277812958,0.228,-1.995,1.25,19.5,5.358,18.5,99.0,99.0,99.0,0.0,0.0,0.0,14402797220.383142,True
Fe 1,3018.3148952579504,3018.296,3018.23,3018.33,0.12730807065963745,0.052000000000000046,0.42148238,0.13682798,0.8726919293403625,0.948,-1.127,2.9398,4.0,7.0476,5.0,1.75,1.51,1.02,7.67,-4.38,-7.29,4444062439.490777,True
Fe 1,3018.479983791639,3018.5061,3018.34,3018.67,0.020907767117023468,0.006000000000000005,0.13952455,0.25691652,0.9790922328829765,0.994,-1.554,0.1101,1.0,4.2176,1.0,1.5,1.49,1.5,8.3,-6.16,277.264,4469500623.630962,True
Fe 1,3018.731071889561,3018.7351,3018.68,3018.78,0.17536211013793945,0.06399999999999995,0.26059148,0.27501875,0.8246378898620605,0.936,-1.309,2.998,3.0,7.1052,4.0,1.91,1.45,0.77,7.65,-4.24,-7.29,1533883261.4718473,True
Ni 1,3018.8169471346737,3018.8177,3018.79,3018.92,0.24212992191314697,0.651,0.27660087,0.57976484,0.757870078086853,0.349,-3.217,1.9354,2.0,6.0424,2.0,1.42,1.36,1.39,7.67,-4.59,-7.49,3575394789.019135,True
Fe 1,3019.015800608192,3019.0143,3018.93,3019.07,0.22151517868041992,0.049000000000000044,0.5787084,0.40585154,0.7784848213195801,0.951,-1.67,2.4041,6.0,6.5109,6.0,1.16,1.02,1.09,8.05,-6.09,314.246,6472535929.727915,True
Fe 1,3019.121375811519,3019.1259,3019.08,3019.2,0.291398286819458,0.09099999999999997,0.40125877,0.57765794,0.708601713180542,0.909,-2.224,2.5592,4.0,6.6658,3.0,1.24,1.08,1.47,7.82,-4.82,-7.52,3504818663.5389867,True
Zn 1,3019.2380800768674,3019.2342,3019.21,3019.26,0.5727623403072357,0.756,0.579652,0.5772435,0.4272376596927643,0.244,-1.833,4.0061,0.0,8.1126,1.0,99.0,99.0,99.0,0.0,0.0,0.0,3441327.5015488975,True
Cr 1,3019.380905917227,3019.3703,3019.27,3019.52,0.1201791763305664,0.029000000000000026,0.5751489,0.32242596,0.8798208236694336,0.971,-0.44,0.9684,1.0,5.0747,1.0,1.5,2.46,1.98,8.21,-5.36,-7.52,8717306162.122524,True
Fe 1,3019.5649384115204,3019.5778,3019.53,3019.61,0.30367588996887207,0.374,0.32343227,0.34942573,0.6963241100311279,0.626,-2.846,2.8512,4.0,6.9572,5.0,1.49,1.39,1.18,7.45,-4.41,-7.35,167170354.02473488,True
OH 1,3019.711212200881,3019.6998,3019.62,3019.75,0.0985986590385437,0.89,0.34988928,0.12963873,0.9014013409614563,0.11,-2.217,1.3982,25.5,5.504,24.5,99.0,99.0,99.0,0.0,0.0,0.0,3972388385.101386,True
Fe 1,3019.863128230684,3019.8622,3019.76,3019.94,0.03272593021392822,0.007000000000000006,0.12953188,0.08353064,0.9672740697860718,0.993,-1.007,0.9582,3.0,5.0638,3.0,1.25,1.25,1.25,8.78,-5.79,441.295,1894007059.9132526,True
Ni 1,3020.0230049791776,3020.0234,3019.95,3020.08,0.04049873352050781,0.008000000000000007,0.08544329,0.06984437,0.9595012664794922,0.992,-1.497,0.0,4.0,4.1054,3.0,1.19,1.25,1.11,8.08,-6.16,-7.81,768138475.8314008,True
Ca 1,3020.15124349402,3020.1373,3020.09,3020.33,0.05410337448120117,0.751,0.07033651,0.3846196,0.9458966255187988,0.249,-2.835,1.8858,1.0,5.9911,1.0,1.5,2.0,1.75,6.21,-2.63,-6.54,4579800818.721562,True
Si 1,3020.8797719280788,3020.8837,3020.34,3020.96,0.06001821160316467,0.031000000000000028,0.384968,0.107897714,0.9399817883968353,0.969,-4.984,0.0277,2.0,4.1319,2.0,1.5,2.0,1.75,3.31,-6.42,-7.84,1828906961.8315036,True
Fe 1,3021.3772339507505,3021.3703,3020.97,3021.43,0.02166687697172165,0.0050000000000000044,0.10818588,0.026682833,0.9783331230282784,0.995,-0.862,0.0873,2.0,4.1909,2.0,1.5,1.5,1.5,8.29,-6.16,275.263,401375694.5025649,True
Fe 1,3021.5187321789554,3021.5186,3021.44,3021.76,0.018941979855298996,0.0050000000000000044,0.026728427,0.05236882,0.981058020144701,0.995,-0.03,0.0,4.0,4.1034,4.0,1.5,1.5,1.5,8.29,-6.16,267.259,196943443.88678768,True
Fe 1,3021.947245033105,3021.9524,3021.77,3022.34,0.022092893719673157,0.0050000000000000044,0.052361574,0.09917458,0.9779071062803268,0.995,-0.36,0.0516,3.0,4.1544,3.0,1.5,1.49,1.5,8.3,-6.16,271.261,486554469.5623256,True
Fe 1,3022.436367618667,3022.4388,3022.35,3022.69,0.04493921995162964,0.865,0.09950798,0.27857393,0.9550607800483704,0.135,-2.95,3.6946,4.0,7.7967,3.0,0.98,0.89,1.12,8.34,-3.05,-7.06,2507655590.3526583,True
OH 1,3022.7232639265117,3022.7445,3022.7,3023.07,0.2766382396221161,0.855,0.27930966,0.48330495,0.7233617603778839,0.145,-2.253,1.1905,12.5,5.2922,11.5,99.0,99.0,99.0,0.0,0.0,0.0,435796507.41960156,True
Co 1,3023.2362852691185,3023.2334,3023.08,3023.36,0.24356520175933838,0.5880000000000001,0.48349118,0.6016247,0.7564347982406616,0.412,-1.837,1.7104,2.5,5.8115,3.5,1.6,1.33,0.99,7.97,-6.27,-7.81,4704137104.894547,True
V 2,3023.4717350968817,3023.4663,3023.37,3023.55,0.30802416801452637,0.16500000000000004,0.60341847,0.53527564,0.6919758319854736,0.835,-0.84,1.6752,1.0,5.776,0.0,2.39,0.0,2.39,8.24,-6.46,-7.87,4016399607.8091106,True
Mn 1,3023.620534774389,3023.6241,3023.56,3024.13,0.2981564998626709,0.10499999999999998,0.52756035,0.7493116,0.7018435001373291,0.895,0.073,3.1325,5.5,7.2331,6.5,1.27,1.23,1.11,7.99,-6.18,-7.83,5922722405.087633,True
Fe 1,3024.2323402831166,3024.2229,3024.14,3024.24,0.7207989320158958,0.867,0.7491661,0.72177386,0.27920106798410416,0.133,-3.581,3.0469,4.0,7.1466,3.0,1.0,1.1,0.86,7.98,-5.72,-7.73,13941682.663408678,True
Fe 1,3024.320313261576,3024.3198,3024.25,3024.38,0.6707972884178162,0.6819999999999999,0.72220844,0.72520393,0.32920271158218384,0.318,-2.97,3.2112,4.0,7.3108,4.0,1.5,1.25,1.37,7.78,-4.17,-7.27,126571695.02501649,True
