species,wave,wave_vald,wave_l,wave_u,flux,flux_vald,flux_l,flux_u,depth,depth_vald,loggf,E_l,J_l,E_u,J_u,lande_l,lande_u,lande_m,damping_rad,damping_stark,damping_waals,vrad_info,crit_CaHK
Fe 1,3004.97435843762,3004.989,3004.9,3005.06,0.06722140312194824,0.038000000000000034,0.3746871,0.5946577,0.9327785968780518,0.962,-1.382,2.4327,5.0,6.5586,5.0,1.04,0.83,0.93,8.04,-6.08,-7.79,19812510110.36883,True
Fe 2,3005.1379159308817,3005.1312,3005.07,3005.17,0.2860729694366455,0.17700000000000005,0.6063979,0.35969192,0.7139270305633545,0.823,-2.163,3.8143,3.5,7.9401,3.5,0.9,0.98,0.94,8.59,-6.51,176.238,4341328792.174536,True
OH 1,3005.2115138410654,3005.2002,3005.18,3005.3,0.32272326946258545,0.732,0.35765326,0.614686,0.6772767305374146,0.268,-1.665,1.5082,21.5,5.6338,21.5,99.0,99.0,99.0,0.0,0.0,0.0,2396916878.2879806,True
Cr 2,3005.3391882220676,3005.3414,3005.31,3005.41,0.5890589952468872,0.681,0.6230102,0.7612191,0.4109410047531128,0.319,-1.695,4.41,2.5,8.5355,3.5,0.86,0.67,0.43,8.41,-6.49,185.221,725237451.3033773,True
Fe 1,3005.50523315076,3005.5041,3005.42,3005.65,0.13926434516906738,0.03200000000000003,0.75473475,0.8322556,0.8607356548309326,0.968,-2.237,1.5574,3.0,5.6826,4.0,1.09,1.16,1.27,7.8,-6.08,-7.81,24903621637.446854,True
Fe 1,3005.729628155034,3005.7287,3005.66,3005.79,0.750701904296875,0.779,0.83200085,0.8151371,0.249298095703125,0.221,-3.377,2.998,3.0,7.123,2.0,1.91,1.31,2.5,7.63,-4.44,-7.3,218287168.917237,True
Cr 1,3005.9343007714165,3005.9369,3005.8,3006.06,0.08371734619140625,0.025000000000000022,0.8127342,0.7888998,0.9162826538085938,0.975,-0.25,1.03,4.0,5.1547,3.0,1.5,1.5,1.5,8.23,-6.0,384.285,29253937442.47674,True
Fe 1,3006.1770843111267,3006.1785,3006.07,3006.27,0.11442112922668457,0.03300000000000003,0.7882846,0.766676,0.8855788707733154,0.967,-1.224,2.4041,6.0,6.5284,7.0,1.16,1.15,1.1,8.05,-6.08,-7.79,27207523091.09975,True
OH 1,3006.343229415101,3006.3465,3006.28,3006.41,0.5590777397155762,0.844,0.7765163,0.778185,0.44092226028442383,0.156,-2.312,1.0954,10.5,5.2195,9.5,99.0,99.0,99.0,0.0,0.0,0.0,2347818121.027551,True
Cr 1,3006.4379016814496,3006.4332,3006.42,3006.5,0.7610082626342773,0.877,0.7737311,0.84090483,0.23899173736572266,0.123,-1.446,3.0922,2.0,7.2162,3.0,0.67,1.19,1.7,8.17,-4.85,-7.58,142462700.34261224,True
Co 1,3006.6235193477933,3006.6414,3006.51,3006.74,0.10932672023773193,0.21099999999999997,0.8384049,0.71252364,0.8906732797622681,0.789,-1.073,1.8826,2.5,6.0063,2.5,1.52,1.34,1.43,8.18,-5.98,-7.77,25281482729.022217,True
Fe 1,3006.8396474233755,3006.8492,3006.75,3006.94,0.18618011474609375,0.08899999999999997,0.69734466,0.8004988,0.8138198852539062,0.911,-1.726,2.998,3.0,7.1214,3.0,1.91,1.84,1.87,7.63,-4.05,-7.29,17402102249.313065,True
OH 1,3007.0548467832596,3007.0491,3006.95,3007.09,0.43657350540161133,0.765,0.80294836,0.5165694,0.5634264945983887,0.235,-1.93,1.3018,14.5,5.4249,14.5,99.0,99.0,99.0,0.0,0.0,0.0,2950971225.7850184,True
V 1,3007.2133846001743,3007.2285,3007.1,3007.34,0.05544006824493408,0.9,0.52187777,0.3978733,0.9445599317550659,0.1,-0.793,1.3505,3.5,5.4734,4.5,0.88,0.9,0.94,8.1,-6.1,-7.69,15226211441.47546,True
Fe 1,3007.4707415122753,3007.4731,3007.35,3007.56,0.06824833154678345,0.08999999999999997,0.39098498,0.36134556,0.9317516684532166,0.91,-1.469,3.241,3.0,7.3635,3.0,1.5,1.17,1.34,7.8,-4.59,-7.26,12388513160.03151,True
Si 1,3007.615364347671,3007.6149,3007.57,3007.67,0.12991571426391602,0.050000000000000044,0.34741524,0.38330638,0.870084285736084,0.95,-5.457,0.0096,1.0,4.1319,2.0,1.5,2.0,2.25,3.31,-6.42,-7.84,9302728628.707636,True
Ca 1,3007.738305068409,3007.7378,3007.68,3007.84,0.08866310119628906,0.04600000000000004,0.3706068,0.5329035,0.9113368988037109,0.954,-0.279,1.8989,2.0,6.0211,2.0,1.5,1.5,1.5,8.19,-4.71,619.306,15233852761.692179,True
Fe 1,3008.0277399432903,3008.0216,3007.85,3008.08,0.033353984355926514,0.01200000000000001,0.5323652,0.07109251,0.9666460156440735,0.988,-1.157,1.4849,4.0,5.6066,3.0,1.25,1.35,1.11,7.78,-6.22,-7.8,8781467166.30412,True
Fe 1,3008.1587209057,3008.1588,3008.09,3008.31,0.02151322364807129,0.006000000000000005,0.06987831,0.25934038,0.9784867763519287,0.994,-1.732,0.0873,2.0,4.2089,2.0,1.5,1.49,1.5,6.88,-6.13,300.272,4222211324.6645684,True
Fe 1,3008.3542743032417,3008.3606,3008.32,3008.44,0.21638119220733643,0.20999999999999996,0.26020148,0.41702798,0.7836188077926636,0.79,-2.836,2.5592,4.0,6.6805,4.0,1.24,1.35,1.29,6.51,-5.96,-7.8,1973341539.1442568,True
Mn 1,3008.5353752534634,3008.5294,3008.45,3008.56,0.25213682651519775,0.31799999999999995,0.41729686,0.27980483,0.7478631734848022,0.682,-0.7,3.1344,2.5,7.2555,3.5,0.57,0.67,0.78,8.06,-6.17,350.24,1219352797.6367695,True
