species,wave,wave_vald,wave_l,wave_u,flux,flux_vald,flux_l,flux_u,depth,depth_vald,loggf,E_l,J_l,E_u,J_u,lande_l,lande_u,lande_m,damping_rad,damping_stark,damping_waals,vrad_info,crit_CaHK
Ti 2,3490.7005216532375,3490.7346,3490.55,3490.86,0.08025205135345459,0.05700000000000005,0.7300088,0.7190823,0.9197479486465454,0.943,-2.0,0.1348,3.5,3.6866,3.5,1.24,0.99,1.11,8.23,-6.48,-7.86,30317091498.412766,True
Fe 1,3491.571362731925,3491.5724,3490.87,3491.68,0.03700551390647888,0.013000000000000012,0.7190147,0.103846796,0.9629944860935211,0.987,-1.105,0.0516,3.0,3.6025,3.0,1.5,1.66,1.58,7.34,-6.12,248.249,4434058516.291117,True
Co 1,3491.7235121181025,3491.737,3491.69,3491.92,0.09693941473960876,0.10799999999999998,0.10424432,0.3480946,0.9030605852603912,0.892,-1.75,0.5136,3.5,4.0644,2.5,1.24,0.87,1.7,6.44,-6.23,258.247,2294424547.541916,True
Ti 2,3492.0447725548274,3492.0484,3491.93,3492.21,0.07679486274719238,0.026000000000000023,0.34923628,0.6290801,0.9232051372528076,0.974,-1.1,0.1126,1.5,3.663,2.5,0.4,0.58,0.71,8.22,-6.49,-7.86,16056061491.091265,True
Co 1,3492.316156413299,3492.3172,3492.22,3492.65,0.1860041618347168,0.061000000000000054,0.63089806,0.82299364,0.8139958381652832,0.939,-1.44,0.2243,1.5,3.7745,1.5,0.4,1.19,0.8,7.53,-6.21,235.248,20233019839.182358,True
Fe 1,3492.755641469063,3492.7557,3492.66,3492.86,0.6664905548095703,0.614,0.82270885,0.83223116,0.3335094451904297,0.386,-2.346,3.6864,1.0,7.2361,1.0,2.49,0.88,1.68,8.14,-5.43,-7.3,1164111012.0943196,True
Co 1,3492.972442050072,3492.979,3492.87,3493.04,0.6405507326126099,0.696,0.83176064,0.7869278,0.35944926738739014,0.304,-0.481,3.2524,3.5,6.8019,4.5,1.15,1.1,1.01,8.13,-5.1,-7.54,1409447382.1461244,True
Fe 1,3493.127416545433,3493.1265,3493.05,3493.22,0.5060245990753174,0.361,0.7861971,0.77231616,0.4939754009246826,0.639,-1.949,3.6416,3.0,7.191,2.0,1.33,1.44,1.21,7.72,-4.84,-7.46,4218250950.7692513,True
Ti 2,3493.3668858233796,3493.363,3493.23,3493.43,0.5378309488296509,0.531,0.77199745,0.6450692,0.4621690511703491,0.469,0.09,4.2828,3.5,7.832,2.5,0.89,0.86,0.93,8.73,-5.59,-7.64,1570430389.5793583,True
Ni 1,3493.9556626628037,3493.9556,3493.44,3494.21,0.048341065645217896,0.014000000000000012,0.646533,0.24064098,0.9516589343547821,0.986,-0.821,0.1091,2.0,3.6576,1.0,1.43,1.15,1.56,8.11,-6.13,-7.81,5282520364.19509,True
Ti 1,3494.273392570929,3494.2741,3494.22,3494.38,0.1494532823562622,0.607,0.24253757,0.52992713,0.8505467176437378,0.393,-2.38,0.0211,3.0,3.5693,4.0,1.08,1.34,1.73,8.13,-5.28,338.252,7809315353.907368,True
Fe 2,3494.4815518751648,3494.4723,3494.39,3494.51,0.22349023818969727,0.16400000000000003,0.5318199,0.2565301,0.7765097618103027,0.836,-1.227,4.1493,4.5,7.6973,4.5,1.1,1.1,1.1,8.45,-6.53,173.234,4630284814.688715,True
Ni 1,3494.5413407740475,3494.5544,3494.52,3494.62,0.2329162359237671,0.15900000000000003,0.256242,0.579236,0.7670837640762329,0.841,-0.025,3.7681,1.0,7.3161,2.0,0.01,0.74,1.11,8.25,-5.21,-7.5,6144542375.811795,True
Fe 1,3494.687319825346,3494.6875,3494.63,3495.03,0.2654695510864258,0.6599999999999999,0.57014835,0.8864809,0.7345304489135742,0.34,-3.084,3.0176,3.0,6.5654,4.0,0.76,1.21,1.87,7.67,-4.71,-7.5,14724131137.709583,True
Fe 1,3495.1661173126386,3495.1631,3495.04,3495.33,0.31063079833984375,0.14,0.8865505,0.89772564,0.6893692016601562,0.86,-2.316,2.4242,1.0,5.9715,2.0,1.5,1.74,1.86,8.37,-5.75,-7.7,15419020357.29253,True
Fe 1,3495.2321022265546,3495.2479,3495.23,3495.33,0.5033125877380371,0.33299999999999996,0.5090667,0.89772564,0.4966874122619629,0.667,-3.105,2.4327,5.0,5.9799,5.0,1.04,1.27,1.15,7.05,-6.18,-7.82,3622805856.400707,True
Gd 2,3495.4135349264893,3495.406,3495.34,3495.43,0.7679809331893921,0.624,0.89937025,0.7793466,0.2320190668106079,0.376,-0.2,0.0785,4.5,3.6256,3.5,1.86,1.95,1.71,0.0,0.0,0.0,412562056.93044466,True
Cr 2,3495.51078533217,3495.52,3495.44,3495.56,0.455136775970459,0.403,0.77443534,0.6229061,0.544863224029541,0.597,-2.881,2.4827,3.5,6.0296,3.5,1.43,1.71,1.57,8.63,-6.47,190.228,4763057379.290063,True
Fe 2,3495.6637827666254,3495.6681,3495.57,3495.84,0.29511475563049316,0.14200000000000002,0.6288189,0.93849003,0.7048852443695068,0.858,-3.106,2.2764,1.5,5.8232,2.5,1.28,1.59,1.83,8.5,-6.56,223.21,14396660219.520239,True
Cr 1,3495.962160690023,3495.9621,3495.85,3496.06,0.6440162658691406,0.45999999999999996,0.93823725,0.9224244,0.3559837341308594,0.54,-0.625,2.9826,5.0,6.5291,6.0,1.04,1.03,1.0,7.39,-6.17,-7.79,3495776225.510078,True
Fe 1,3496.2895640737866,3496.2864,3496.07,3496.46,0.09912240505218506,0.05700000000000005,0.9218817,0.8051715,0.9008775949478149,0.943,-0.916,2.5592,4.0,6.1053,3.0,1.24,1.17,1.34,7.91,-6.29,330.249,28409274160.47751,True
Cr 2,3496.530986141608,3496.5229,3496.47,3496.55,0.6955119371414185,0.6779999999999999,0.80980057,0.71113956,0.30448806285858154,0.322,-1.079,4.9441,3.5,8.4901,4.5,1.14,0.91,0.52,8.43,-6.54,226.209,422500160.09600043,True
Co 1,3496.6822509801905,3496.6822,3496.56,3496.76,0.09248983860015869,0.03500000000000003,0.7118918,0.35950756,0.9075101613998413,0.965,-0.27,0.6293,1.5,4.1751,2.5,0.4,0.7,0.93,8.22,-6.09,301.273,19976313458.228966,True
Mn 2,3496.8298763376574,3496.8333,3496.77,3496.92,0.1539783477783203,0.06599999999999995,0.36361864,0.65073514,0.8460216522216797,0.934,-1.257,1.8548,0.0,5.4004,1.0,0.0,2.49,2.49,8.45,-6.6,-7.86,15492526732.584183,True
Ti 1,3496.955106466203,3496.9543,3496.93,3497.0,0.5997381210327148,0.773,0.6423021,0.7334395,0.40026187896728516,0.227,-2.71,0.0,2.0,3.5455,1.0,0.67,0.0,1.0,8.13,-5.43,-7.72,926547292.3282465,True
Y 2,3497.079233680534,3497.08,3497.01,3497.13,0.33724069595336914,0.10999999999999999,0.7419739,0.62295043,0.6627593040466309,0.89,-0.72,0.0,0.0,3.5454,1.0,0.0,0.6,0.6,8.46,-6.18,-7.76,10999352778.110062,True
Zr 2,3497.209325775516,3497.2054,3497.14,3497.28,0.19153761863708496,0.051000000000000045,0.6283074,0.5706026,0.808462381362915,0.949,0.26,0.039,2.5,3.5843,3.5,1.02,1.0,0.97,0.0,0.0,0.0,18024852113.983105,True
Dy 2,3497.3424409337504,3497.3414,3497.29,3497.49,0.3232240676879883,0.851,0.57081205,0.9290366,0.6767759323120117,0.149,-0.067,0.9254,5.5,4.4705,5.5,1.01,1.21,1.11,0.0,0.0,0.0,12875999460.57639,True
Co 1,3497.6819203042314,3497.6804,3497.5,3497.74,0.23319721221923828,0.07299999999999995,0.92903036,0.5391605,0.7668027877807617,0.927,-1.3,0.5136,3.5,4.0584,3.5,1.24,0.9,1.07,7.79,-6.13,258.247,19255203569.11295,True
Mn 2,3497.8061578922757,3497.8076,3497.75,3497.91,0.21050548553466797,0.09599999999999997,0.52498204,0.79615617,0.789494514465332,0.904,-1.759,1.8326,2.0,5.3773,3.0,1.5,1.66,1.82,8.45,-6.6,-7.86,18265665305.581585,True
Fe 1,3498.120506182345,3498.1038,3497.92,3498.33,0.05482494831085205,0.041000000000000036,0.7903242,0.7524047,0.945175051689148,0.959,-0.936,2.1759,3.0,5.7203,3.0,1.67,1.66,1.66,8.53,-6.05,285.269,24365028165.235435,True
Mn 2,3498.528998946932,3498.5258,3498.34,3498.61,0.1483292579650879,0.07299999999999995,0.7533547,0.40837955,0.8516707420349121,0.927,-1.397,1.8475,1.0,5.3914,2.0,1.5,1.83,2.0,8.45,-6.6,-7.86,15659724668.87928,True
Fe 1,3498.845111704532,3498.8411,3498.62,3499.1,0.039705127477645874,0.014000000000000012,0.40590432,0.517595,0.9602948725223541,0.986,-1.549,0.1101,1.0,3.6537,2.0,1.5,1.84,2.0,7.35,-6.12,252.25,10041123088.146004,True
Fe 1,3499.1783267538794,3499.1784,3499.11,3499.61,0.32355427742004395,0.25,0.52204007,0.9104343,0.676445722579956,0.75,-2.517,2.8083,6.0,6.3515,5.0,1.5,1.38,1.8,8.2,-5.09,-7.52,7862079759.607733,True
Fe 1,3499.7387602778526,3499.7302,3499.62,3499.85,0.3442659378051758,0.241,0.9103654,0.92777103,0.6557340621948242,0.759,-2.858,2.4534,4.0,5.9961,4.0,0.81,0.93,0.87,7.0,-6.16,-7.82,16790101087.228592,True
Ru 1,3499.945863328644,3499.9431,3499.86,3500.02,0.5755865573883057,0.29200000000000004,0.9259939,0.8331235,0.42441344261169434,0.708,0.31,0.0,5.0,3.5425,6.0,1.4,1.38,1.33,0.0,0.0,0.0,4702149603.098134,True
Ti 1,3500.099907054436,3500.096,3500.03,3500.18,0.5050158500671387,0.404,0.834775,0.9282657,0.49498414993286133,0.596,-1.0,1.0666,2.0,4.6089,1.0,1.49,1.53,1.47,8.1,-5.99,-7.72,7962806054.365856,True
Ni 1,3500.2596658391167,3500.2599,3500.19,3500.43,0.7947139739990234,0.6739999999999999,0.9326935,0.96728367,0.20528602600097656,0.326,-1.411,3.7963,2.0,7.3385,3.0,0.74,0.86,0.99,8.43,-4.55,-7.51,971560656.7541089,True
Zr 2,3500.5720953016234,3500.5723,3500.44,3500.7,0.6226646900177002,0.33199999999999996,0.9673458,0.969098,0.3773353099822998,0.668,-1.06,0.4091,3.5,3.9509,4.5,1.23,1.32,1.49,0.0,0.0,0.0,5045022763.622782,True
Fe 2,3500.8688299125806,3500.8818,3500.71,3501.0,0.5421912670135498,0.43100000000000005,0.968959,0.96366864,0.4578087329864502,0.569,-2.37,4.1536,3.5,7.6951,3.5,0.88,1.2,1.04,8.49,-6.53,170.224,6428600781.444832,True
Fe 1,3501.1562462592988,3501.1557,3501.01,3501.23,0.5154714584350586,0.277,0.9637294,0.8789533,0.4845285415649414,0.723,-2.525,2.8755,2.0,6.4167,1.0,1.5,0.02,2.24,7.92,-4.43,-7.49,8093045080.033439,True
Ti 2,3501.334807142054,3501.3346,3501.24,3501.44,0.20192384719848633,0.05900000000000005,0.87590873,0.86580235,0.7980761528015137,0.941,-2.04,0.122,2.5,3.663,2.5,1.03,0.58,0.8,8.22,-6.49,-7.86,28970831756.863907,True
Fe 1,3501.5673349596946,3501.5662,3501.45,3501.66,0.18448495864868164,0.07799999999999996,0.8658581,0.71104836,0.8155150413513184,0.922,-1.314,2.5881,3.0,6.1289,2.0,1.07,0.68,1.47,7.92,-6.29,332.248,25187511545.722202,True
Ni 1,3501.852101369243,3501.8556,3501.67,3502.4,0.05534517765045166,0.019000000000000017,0.71458644,0.9533217,0.9446548223495483,0.981,-1.437,0.1652,3.0,3.7057,2.0,1.04,1.08,1.0,7.81,-6.12,-7.82,26197178769.343906,True
Fe 1,3502.569129808903,3502.5696,3502.41,3502.64,0.4680309295654297,0.247,0.95337933,0.8467204,0.5319690704345703,0.753,-1.6,3.6864,1.0,7.2262,1.0,2.49,1.28,1.88,8.2,-5.45,-7.34,9173934132.205742,True
Co 2,3502.7187791609317,3502.7188,3502.65,3502.85,0.36418628692626953,0.17100000000000004,0.8339575,0.95214945,0.6358137130737305,0.829,-0.97,2.2034,3.0,5.7431,4.0,1.68,1.45,1.1,8.55,-6.56,-7.91,16239953462.139088,True
Co 1,3503.2820620650923,3503.2822,3502.86,3503.41,0.07645845413208008,0.02300000000000002,0.9522723,0.68239456,0.9235415458679199,0.977,0.07,0.4318,4.5,3.9709,3.5,1.33,1.4,1.22,7.9,-6.18,281.266,28797988754.127975,True
Fe 1,3503.4747934224793,3503.4684,3503.42,3503.49,0.5832066535949707,0.513,0.68353426,0.59620076,0.4167933464050293,0.487,-2.615,3.241,3.0,6.7799,4.0,1.5,1.14,0.6,7.78,-4.97,-7.42,416051100.0174572,True
Ni 1,3503.6063057207125,3503.5968,3503.5,3503.77,0.08440589904785156,0.041000000000000036,0.60260075,0.9310079,0.9155941009521484,0.959,-2.697,0.0,4.0,3.5388,5.0,1.38,1.25,1.0,4.67,-6.26,-7.82,35211953257.06945,True
Fe 1,3503.8538752132354,3503.8558,3503.78,3504.27,0.8522065877914429,0.781,0.93271816,0.98177105,0.14779341220855713,0.219,-3.087,3.2657,2.0,6.8042,2.0,1.5,1.46,1.48,7.74,-4.99,-7.42,390358272.91175026,True
Fe 2,3504.469315259021,3504.4693,3504.28,3504.6,0.40686655044555664,0.18300000000000005,0.9817675,0.981383,0.5931334495544434,0.817,-4.013,1.724,0.5,5.2619,0.5,2.67,-0.65,1.01,8.54,-6.58,212.238,15522704828.990505,True
Co 1,3504.721616224927,3504.7168,3504.61,3504.88,0.786872386932373,0.6819999999999999,0.98172414,0.9851854,0.21312761306762695,0.318,-1.549,2.1367,3.5,5.6743,3.5,0.88,0.9,0.89,7.18,-6.23,-7.82,1287458034.621637,True
Fe 1,3505.2186836899627,3505.2185,3504.89,3505.31,0.5402622222900391,0.30600000000000005,0.98520166,0.95580167,0.45973777770996094,0.694,-1.53,3.9286,2.0,7.4657,1.0,1.17,1.63,0.94,8.03,-5.17,-7.31,8064945635.649957,True
V 2,3505.443089439016,3505.4382,3505.32,3505.53,0.24010658264160156,0.119,0.9585455,0.8364099,0.7598934173583984,0.881,-0.77,1.0963,3.0,4.6332,2.0,1.04,1.39,0.69,8.48,-6.44,-7.86,26533627065.857155,True
Ni 1,3505.5886421673913,3505.5908,3505.54,3505.66,0.6524410247802734,0.491,0.82462984,0.9012567,0.34755897521972656,0.509,-1.336,3.5432,3.0,7.08,3.0,0.95,1.19,1.07,8.0,-4.81,-7.44,2645920552.7193346,True
Ti 2,3505.8842001327903,3505.8934,3505.67,3505.98,0.08704483509063721,0.050000000000000044,0.9009351,0.5701045,0.9129551649093628,0.95,0.38,1.8917,4.5,5.4281,4.5,1.11,1.11,1.11,8.45,-6.41,-7.83,28740321047.473232,True
Fe 1,3506.0608457673316,3506.0608,3505.99,3506.34,0.1828153133392334,0.09099999999999997,0.5626845,0.9705196,0.8171846866607666,0.909,-1.01,3.0173,2.0,6.5535,1.0,1.48,1.25,1.6,8.19,-5.71,284.268,18344254855.666832,True
Zr 2,3506.4854883561766,3506.4848,3506.35,3506.57,0.546328067779541,0.356,0.97080725,0.93448895,0.453671932220459,0.644,0.03,1.5324,5.5,5.0683,4.5,1.09,1.08,1.11,0.0,0.0,0.0,7027494235.6353855,True
Zr 2,3506.6692139251873,3506.6688,3506.58,3506.78,0.3728318214416504,0.10699999999999998,0.9373493,0.9637749,0.6271681785583496,0.893,-0.39,0.164,4.5,3.6997,4.5,1.32,1.16,1.24,0.0,0.0,0.0,17753082279.97143,True
Ti 2,3506.895480592899,3506.8951,3506.79,3506.98,0.5607507228851318,0.31399999999999995,0.9639562,0.9270616,0.43924927711486816,0.686,-1.78,1.8927,3.5,5.4281,4.5,0.89,1.11,1.5,8.45,-6.41,-7.83,6823708133.584028,True
Zr 2,3507.05342592058,3507.0509,3506.99,3507.11,0.798311710357666,0.69,0.9240783,0.88058805,0.20168828964233398,0.31,-0.86,1.236,2.5,4.7712,2.5,1.59,1.61,1.6,0.0,0.0,0.0,573543853.1001385,True
Co 1,3507.308580058366,3507.3158,3507.12,3507.41,0.0766303539276123,0.026000000000000023,0.88117313,0.51906335,0.9233696460723877,0.974,-0.04,0.5136,3.5,4.0486,2.5,1.24,1.37,1.08,8.12,-6.16,288.271,26761174010.947453,True
Zr 2,3507.5107579959417,3507.5041,3507.42,3507.74,0.10630917549133301,0.781,0.5171285,0.9302647,0.893690824508667,0.219,-1.1,1.1844,0.5,4.7193,0.5,2.65,2.45,2.55,0.0,0.0,0.0,22391837682.493443,True
Dy 2,3507.8114455552286,3507.8131,3507.75,3507.93,0.8544135093688965,0.746,0.9298541,0.9658933,0.14558649063110352,0.254,-0.6,0.1027,7.5,3.6372,8.5,1.2,1.27,1.51,0.0,0.0,0.0,360125002.85265046,True
Fe 1,3508.1449972539103,3508.1426,3507.94,3508.28,0.28055906295776367,0.14200000000000002,0.9659678,0.95257205,0.7194409370422363,0.858,-0.94,3.6537,2.0,7.1879,2.0,1.84,1.52,1.68,8.17,-5.33,-7.33,21319706412.982777,True
Fe 2,3508.397601757261,3508.3982,3508.29,3508.49,0.42241334915161133,0.21599999999999997,0.9549747,0.933545,0.5775866508483887,0.784,-3.519,2.3417,0.5,5.8756,1.5,0.68,1.72,1.98,8.5,-6.56,224.209,13787126345.903498,True
V 2,3508.547398518989,3508.5417,3508.5,3508.57,0.8979268968105316,0.889,0.9321038,0.90726423,0.10207310318946838,0.111,-1.287,2.7616,1.0,6.2954,2.0,0.97,1.11,1.18,8.29,-6.43,-7.86,42936996.17676593,True
Ni 1,3508.6979343288613,3508.6974,3508.58,3509.0,0.17441582679748535,0.051000000000000045,0.9098686,0.9741338,0.8255841732025146,0.949,-2.757,0.1652,3.0,3.6988,3.0,1.3,1.08,1.19,7.68,-6.17,-7.82,28900408616.73067,True
Fe 2,3509.2080183593594,3509.2078,3509.01,3509.31,0.41584300994873047,0.19299999999999995,0.9741313,0.94150984,0.5841569900512695,0.807,-4.063,1.724,0.5,5.2571,1.5,2.67,1.04,0.63,8.54,-6.58,212.239,14239158258.17898,True
Fe 1,3509.4972195977675,3509.4774,3509.32,3509.6,0.09672176837921143,0.08099999999999996,0.94220775,0.65459824,0.9032782316207886,0.919,-0.882,2.9904,4.0,6.5232,5.0,1.05,1.03,1.0,8.02,-5.23,336.255,34546335380.39688,True
Fe 1,3509.6113090506137,3509.6137,3509.61,3509.6,0.6520813703536987,0.72,0.65553457,0.65459824,0.34791862964630127,0.28,-3.349,2.8654,3.0,6.3981,3.0,1.51,1.28,1.4,7.98,-4.3,-7.5,0.0,True
Fe 1,3509.768461503398,3509.7691,3509.71,3509.89,0.8248803615570068,0.7090000000000001,0.9059072,0.9618841,0.17511963844299316,0.291,-2.294,3.9286,2.0,7.4612,1.0,1.17,2.16,0.67,7.78,-3.43,-7.1,501299586.0847352,True
Fe 1,3510.1231930642225,3510.1215,3509.9,3510.24,0.342134952545166,0.17200000000000004,0.96200734,0.937731,0.657865047454834,0.828,-2.12,2.8325,5.0,6.3647,4.0,1.5,1.34,1.82,8.32,-4.84,847.281,16546067738.056047,True
Zr 1,3510.3240188054237,3510.3238,3510.25,3510.41,0.8286335468292236,0.739,0.93655795,0.934569,0.17136645317077637,0.261,-0.11,0.0707,3.0,3.6027,2.0,1.06,1.16,0.96,0.0,0.0,0.0,477557466.8143784,True
Ni 1,3510.7461351002066,3510.7497,3510.42,3510.78,0.2089986801147461,0.548,0.9350143,0.26190537,0.7910013198852539,0.452,-3.016,1.9354,2.0,5.4669,2.0,1.45,1.36,1.4,7.55,-6.02,-7.81,12764062011.393192,True
Co 1,3510.847179623474,3510.8449,3510.79,3510.97,0.09008705615997314,0.03500000000000003,0.2539755,0.6719708,0.9099129438400269,0.965,-0.32,0.5815,2.5,4.113,3.5,1.03,1.04,1.05,8.14,-6.11,295.273,17655810512.67884,True
Fe 1,3511.0773752766754,3511.0611,3510.98,3511.09,0.47808730602264404,0.552,0.67584,0.48422065,0.521912693977356,0.448,-2.665,3.2515,3.0,6.7827,2.0,1.34,0.8,1.87,7.86,-5.06,-7.51,1109679659.544611,True
Ni 1,3511.3485590781365,3511.34,3511.1,3511.51,0.041172921657562256,0.015000000000000013,0.48539937,0.23137407,0.9588270783424377,0.985,-0.807,0.2124,1.0,3.7434,0.0,0.0,0.5,0.0,8.12,-6.14,-7.81,10102605514.032433,True
Cr 1,3511.5538722433744,3511.5381,3511.52,3511.71,0.18701040744781494,0.43899999999999995,0.2286831,0.67775744,0.8129895925521851,0.561,-0.57,3.0004,6.0,6.5312,7.0,1.17,1.14,1.07,7.37,-6.17,-7.79,8284461097.403252,True
Ti 2,3511.8434688520033,3511.8441,3511.72,3512.32,0.12931013107299805,0.05300000000000005,0.67904913,0.9351593,0.870689868927002,0.947,0.29,1.8927,3.5,5.4232,3.5,0.89,0.89,0.89,8.45,-6.41,-7.83,26062686631.87072,True
Fe 1,3512.431600321326,3512.432,3512.33,3512.51,0.8138831853866577,0.737,0.93523514,0.9332337,0.18611681461334229,0.263,-2.718,3.5465,2.0,7.0764,2.0,1.03,1.27,1.15,7.74,-4.4,-7.53,581114419.4123898,True
Ni 1,3512.6224087439778,3512.621,3512.52,3512.67,0.5183191299438477,0.32099999999999995,0.9341373,0.7304591,0.48168087005615234,0.679,-0.908,3.6353,3.0,7.165,4.0,1.09,1.06,1.01,8.32,-5.47,-7.53,5975511296.654087,True
Fe 1,3512.756604693588,3512.7421,3512.68,3512.77,0.3179292678833008,0.17400000000000004,0.7372201,0.33485937,0.6820707321166992,0.826,-2.43,2.5592,4.0,6.0887,4.0,1.24,1.18,1.21,7.89,-6.22,328.249,6826621776.153299,True
Mn 1,3512.846671887683,3512.8344,3512.78,3513.04,0.14521074295043945,0.858,0.33483475,0.92487335,0.8547892570495605,0.142,-0.22,4.6395,5.5,8.1689,5.5,99.0,99.0,99.0,0.0,0.0,391.271,15602717772.509878,True
Fe 1,3513.2289940058017,3513.2289,3513.05,3513.38,0.2333664894104004,0.11099999999999999,0.9252916,0.9013286,0.7666335105895996,0.889,-1.488,2.8512,4.0,6.3803,3.0,1.49,1.24,1.87,8.34,-5.21,861.279,24208680458.72518,True
Co 1,3513.64851760004,3513.6448,3513.39,3513.75,0.09221053123474121,0.030000000000000027,0.9016995,0.555162,0.9077894687652588,0.97,-0.13,0.5815,2.5,4.1102,1.5,1.03,1.2,0.9,8.12,-6.15,294.273,27138280446.502235,True
Fe 1,3513.804183422888,3513.8074,3513.76,3513.87,0.37143588066101074,0.19499999999999995,0.5453862,0.7468029,0.6285641193389893,0.805,-2.224,2.8654,3.0,6.3939,3.0,1.51,1.92,1.72,8.32,-5.22,-7.52,7445869634.82444,True
Fe 1,3513.9685539131087,3513.9599,3513.88,3514.0,0.23948216438293457,0.125,0.759168,0.3090274,0.7605178356170654,0.875,-1.402,3.0713,1.0,6.5997,1.0,1.47,1.27,1.37,8.26,-5.8,-7.73,10891411708.689234,True
Fe 1,3514.0528888992735,3514.0578,3514.01,3514.21,0.18173694610595703,0.07799999999999996,0.30823442,0.85051614,0.818263053894043,0.922,-2.53,1.5574,3.0,5.0856,2.0,1.09,1.0,1.17,8.78,-5.79,443.267,15372476361.676916,True
Co 1,3514.4858825705196,3514.4845,3514.22,3514.55,0.1162102222442627,0.03200000000000003,0.850437,0.36227763,0.8837897777557373,0.968,-0.84,0.1012,3.5,3.629,4.5,1.24,1.18,1.06,7.12,-6.22,227.247,18794532554.73713,True
Fe 1,3514.6022017028167,3514.5957,3514.56,3514.64,0.2960073947906494,0.256,0.3662617,0.33943203,0.7039926052093506,0.744,-2.531,2.8083,6.0,6.336,5.0,1.5,1.38,1.78,8.19,-4.38,-7.51,639383957.1070949,True
Fe 1,3514.824706781356,3514.8224,3514.65,3514.88,0.04650434851646423,0.016000000000000014,0.34130585,0.07673861,0.9534956514835358,0.984,-1.159,0.859,5.0,4.3865,5.0,1.4,1.25,1.32,8.02,-6.07,296.273,4821565718.8449955,True
Ni 1,3514.935852561557,3514.937,3514.89,3515.29,0.05702123045921326,0.04700000000000004,0.077013925,0.717277,0.9429787695407867,0.953,-2.591,0.2124,1.0,3.7398,2.0,0.99,0.5,0.25,6.31,-6.26,-7.83,11118965777.73464,True
V 2,3515.421403068149,3515.4159,3515.3,3515.47,0.6167630553245544,0.782,0.71746147,0.6518735,0.38323694467544556,0.218,-1.41,2.2682,2.0,5.795,2.0,1.13,1.48,1.31,8.26,-6.54,-7.87,282549277.1547411,True
Zr 2,3515.635987276155,3515.6371,3515.48,3515.71,0.19045519828796387,0.832,0.6534839,0.39448655,0.8095448017120361,0.168,-0.7,1.7432,3.5,5.2698,3.5,0.89,1.13,1.01,0.0,0.0,0.0,10264823179.466923,True
Ni 1,3516.057350797241,3516.0573,3515.72,3516.92,0.03887394070625305,0.014000000000000012,0.39172894,0.8249317,0.961126059293747,0.986,-0.347,0.1091,2.0,3.6353,3.0,1.09,1.15,1.22,7.94,-6.12,-7.81,7340496400.992912,True
V 2,3517.0094960211877,3517.0091,3516.93,3517.07,0.7332155704498291,0.772,0.8241871,0.80562043,0.2667844295501709,0.228,-2.48,1.128,4.0,4.6533,4.0,1.22,1.44,1.33,8.52,-6.44,-7.86,346703623.63268244,True
Ni 1,3517.2195631156615,3517.2196,3517.08,3517.32,0.21318650245666504,0.129,0.8068994,0.72977054,0.786813497543335,0.871,0.07,3.5388,5.0,7.0638,5.0,1.38,1.2,1.29,7.3,-3.41,-7.1,18706632016.515354,True
Fe 1,3517.415352772451,3517.4142,3517.33,3517.48,0.2273099422454834,0.10799999999999998,0.72805524,0.5746101,0.7726900577545166,0.892,-1.25,3.0176,3.0,6.5425,4.0,0.76,0.81,0.88,8.08,-6.05,339.254,16605582939.819595,True
Fe 1,3517.5614202216584,3517.562,3517.49,3517.75,0.1840658187866211,0.09199999999999997,0.5736223,0.9098532,0.8159341812133789,0.908,-1.199,2.8654,3.0,6.3901,2.0,1.51,0.87,2.16,8.35,-5.22,870.277,21529660299.207584,True
Ti 1,3517.837423752975,3517.8377,3517.76,3517.87,0.846570611000061,0.796,0.9105803,0.87326145,0.15342938899993896,0.204,-0.898,1.8792,4.0,5.4036,3.0,1.06,1.08,1.03,7.75,-5.28,-7.44,124320890.08072446,True
Pd 1,3517.968319487699,3517.9497,3517.88,3517.97,0.6331853866577148,0.43899999999999995,0.87781775,0.638111,0.36681461334228516,0.561,-0.24,0.9615,2.0,4.4858,1.0,1.13,1.4,0.99,0.0,0.0,0.0,1473823541.7577438,True
Ni 1,3518.025084640948,3518.0315,3517.98,3518.14,0.5510149002075195,0.373,0.63779074,0.9374749,0.44898509979248047,0.627,-0.92,3.7398,2.0,7.264,3.0,0.99,1.04,1.1,8.16,-4.63,-7.48,3567020441.531507,True
V 2,3518.305580208108,3518.3052,3518.15,3518.43,0.2039945125579834,0.07899999999999996,0.93748575,0.8793117,0.7960054874420166,0.921,-0.24,1.128,4.0,4.652,3.0,1.22,1.47,0.85,8.42,-6.44,-7.86,26685473183.13101,True
Co 2,3518.4999036391077,3518.4915,3518.44,3518.77,0.7778542041778564,0.746,0.88232857,0.96098864,0.22214579582214355,0.254,-2.412,2.2356,2.0,5.7594,2.0,1.84,1.06,1.45,8.55,-6.56,-7.91,818748663.2124786,True
Co 1,3519.3529807006757,3519.3539,3518.78,3519.51,0.12426495552062988,0.04200000000000004,0.9609823,0.87505716,0.8757350444793701,0.958,0.07,1.049,2.5,4.5719,1.5,0.86,0.79,0.91,8.22,-6.09,350.252,31825556941.673214,True
Fe 1,3519.6663408704626,3519.6888,3519.52,3519.78,0.12407183647155762,0.11599999999999999,0.87624955,0.79810005,0.8759281635284424,0.884,-1.515,2.8755,2.0,6.3981,3.0,1.5,1.28,1.06,7.98,-4.3,877.276,32478555279.110588,True
