rv_shift_+77.396_ms,rv_shift_+43.888_ms
0.6973895605540377,0.6974251638601001
0.6974979780546358,0.6975374474323204
0.6976177021206571,0.6976608093227736
0.6977467511197664,0.6977910479289782
0.6978820260720181,0.6979279982985835
0.6980220480611001,0.6980716846616428
0.6981715756432851,0.6982254299280211
0.6983364739099472,0.6983924275721551
0.6985021187626292,0.6985584909749288
0.6986735873142345,0.6987348204900806
0.6988575466258928,0.6989217946688657
0.6990549868263195,0.6991239244593517
0.6992589969195616,0.6993271379093302
0.6994638331602339,0.6995361070764207
0.6996841089311838,0.699760200569488
0.6999133499359705,0.6999941882400442
0.7001566412010501,0.7002378868329774
0.7003982155579362,0.7004807172389145
0.7006526176280723,0.7007409000132145
0.7009195713754651,0.7010108708791642
0.7011967071093823,0.7012918817581324
0.7014782551608028,0.7015733500584606
0.7017661080431357,0.7018663483458456
0.7020673971849165,0.7021707255288132
0.7023779615853487,0.70248381486056
0.7026979458538984,0.7028061224674875
0.7030231336925503,0.7031335931811358
0.7033552323368937,0.7034680128799176
0.7036959168033489,0.7038128396081691
0.7040455828154618,0.7041651484020879
0.7044045352666373,0.7045259721233634
0.704768828848063,0.7048923888556469
0.7051379666527818,0.7052622872274277
0.7055111498109039,0.7056381484396436
0.705895705833127,0.7060256836005168
0.7062837476749162,0.7064150101168584
0.7066772397543736,0.7068085352572884
0.7070704242298376,0.7072044089835554
0.7074739824046192,0.707609667513832
0.7078793165628805,0.7080147607341694
0.7082837531257515,0.7084201487224162
0.7086906223156081,0.7088273066160139
0.709102171064162,0.7092420177223315
0.7095186568629814,0.7096575880149898
0.7099311104413661,0.7100670135306835
0.7103364271138448,0.7104717478494835
0.7107430079704007,0.7108816396634515
0.7111560584145377,0.7112938766838646
0.7115655399828353,0.7117001076976599
0.7119616905709418,0.7120933838503288
0.7123564493451848,0.712487799730586
0.7127461119571148,0.7128757620826659
0.7131329777527401,0.7132612939088482
0.7135090982158563,0.7136325620922268
0.7138749759204328,0.7139955111688495
0.7142296905344188,0.7143475671399907
0.7145771131901861,0.7146911769950108
0.7149115088966389,0.7150192129399093
0.7152286588611232,0.7153328610764726
0.7155321908583541,0.7156300268146691
0.715818231182243,0.7159100557636755
0.7160867009240904,0.71617350634274
0.7163353787927107,0.7164141287427972
0.7165619310971305,0.7166304932390337
0.7167614642579337,0.7168236760413984
0.7169385755154991,0.7169921314096753
0.7170883774935002,0.7171308199656556
0.7172050490763934,0.7172375479708255
0.7172909328298238,0.7173126941787131
0.7173439326789891,0.7173530050289236
0.717359488700548,0.7173565997188631
0.7173325629841126,0.7173142838761642
0.7172645447515561,0.7172316772380485
0.7171516160468718,0.7171037564856317
0.7169921676207209,0.716928174456198
0.7167824029237561,0.7166983913369838
0.7165152107736923,0.7164139459887159
0.7161899192448579,0.7160664257702642
0.7158025472093061,0.7156588573805898
0.7153526447611411,0.715187917254704
0.7148370542030067,0.7146481481987934
0.7142488593345981,0.7140342243905872
0.7135783976725303,0.7133364805026841
0.712827656914817,0.7125586880254405
0.7120000517443358,0.711703861578699
0.7110825932836595,0.7107543563823192
0.7100700308540503,0.709708924065217
0.7089603174549932,0.7085667451509545
0.7077517181334353,0.7073235686377985
0.7064382223517871,0.7059725665705723
0.7050146601054161,0.7045112321659336
0.7034750947968491,0.7029337446012769
0.701822912892875,0.7012417906327959
0.7000500809382898,0.6994282301147132
0.6981482228516988,0.6974814718310838
0.696114587128539,0.6954033819153843
0.6939537067948188,0.6932000096442794
0.6916586448132652,0.6908591517525702
0.68922527568214,0.6883789324526907
0.686652946376096,0.6857578120265917
