wave_val,flux_val,flux_err
3800.004,0.518783682485547,1e-06
3800.01,0.5205788382453189,1e-06
3800.016,0.5224024694341679,1e-06
3800.022,0.5240717449071941,1e-06
3800.028,0.5253841302166645,1e-06
3800.034,0.5261978766021369,1e-06
3800.04,0.52649885725874,1e-06
3800.046,0.5264002445274272,1e-06
3800.052,0.5260729934719751,1e-06
3800.058,0.5256439200530756,1e-06
3800.064,0.5250966254277759,1e-06
3800.07,0.5242044291790121,1e-06
3800.076,0.5225294622119115,1e-06
3800.082,0.5195212838593168,1e-06
3800.088,0.5147242485550478,1e-06
3800.094,0.5080487262823249,1e-06
3800.1,0.49999346501055936,1e-06
3800.106,0.49167457235536466,1e-06
3800.112,0.4845748485537702,1e-06
3800.118,0.48007170299135427,1e-06
3800.124,0.4789462977591804,1e-06
3800.13,0.4811120703224907,1e-06
3800.136,0.4856899331238613,1e-06
3800.142,0.49136870292279483,1e-06
3800.148,0.4968448253291,1e-06
3800.154,0.5011237454182317,1e-06
3800.16,0.503583490537771,1e-06
3800.166,0.5038612154474339,1e-06
3800.172,0.5017178841474189,1e-06
3800.178,0.49701388132384844,1e-06
3800.184,0.48982201738151676,1e-06
3800.19,0.48059420582354484,1e-06
3800.196,0.4702507454727982,1e-06
3800.202,0.46009323434082433,1e-06
3800.208,0.451525035522392,1e-06
3800.214,0.44565214885677085,1e-06
3800.22,0.44289631003229274,1e-06
3800.226,0.4427640040858119,1e-06
3800.232,0.443880601317479,1e-06
3800.238,0.44432595791591356,1e-06
3800.244,0.44220309267813035,1e-06
3800.25,0.4362554993308023,1e-06
3800.256,0.42628074552711703,1e-06
3800.262,0.4131420631243044,1e-06
3800.268,0.39836047302396266,1e-06
3800.274,0.3834717600480841,1e-06
3800.28,0.3694245567264096,1e-06
3800.286,0.3562495311110728,1e-06
3800.292,0.3431208758081378,1e-06
3800.298,0.32881689277814186,1e-06
3800.304,0.3124469552575825,1e-06
3800.31,0.29415286988399336,1e-06
3800.316,0.27543236064737603,1e-06
3800.322,0.2588900578922733,1e-06
3800.328,0.24752415135485972,1e-06
3800.334,0.24386620103756904,1e-06
3800.34,0.24926401916871044,1e-06
3800.346,0.26344367437143845,1e-06
3800.352,0.2844079954439492,1e-06
3800.358,0.3087495630611594,1e-06
3800.364,0.3324093188489885,1e-06
3800.37,0.3516983558386995,1e-06
3800.376,0.36417333612081776,1e-06
3800.382,0.3689753777236879,1e-06
3800.388,0.36656455401128063,1e-06
3800.394,0.3581610332995883,1e-06
3800.4,0.345320259685904,1e-06
3800.406,0.32983489519817116,1e-06
3800.412,0.31378986502126466,1e-06
3800.418,0.299427722534054,1e-06
3800.424,0.2886595535812268,1e-06
3800.43,0.28242033064396993,1e-06
3800.436,0.28028884860171294,1e-06
3800.442,0.2806711290106625,1e-06
3800.448,0.2814812754276231,1e-06
3800.454,0.28094059268733157,1e-06
3800.46,0.2780852470920214,1e-06
3800.466,0.2728111562054242,1e-06
3800.472,0.2655780691010524,1e-06
3800.478,0.2570329174233235,1e-06
3800.484,0.24775273974272566,1e-06
3800.49,0.238159112603885,1e-06
3800.496,0.22854562003029813,1e-06
3800.502,0.21913357247405457,1e-06
3800.508,0.21010177671694238,1e-06
3800.514,0.20157928874867656,1e-06
3800.52,0.1936185623932009,1e-06
3800.526,0.18617189451918467,1e-06
3800.532,0.1790801956654821,1e-06
3800.538,0.17206350764606698,1e-06
3800.544,0.16469843085072108,1e-06
3800.55,0.1563948839778188,1e-06
3800.556,0.14643219487035153,1e-06
3800.562,0.1341312422280413,1e-06
3800.568,0.11916781080940875,1e-06
3800.574,0.10188900506888712,1e-06
3800.58,0.08340549102465215,1e-06
3800.586,0.06532576381141626,1e-06
3800.592,0.0492370472874326,1e-06
3800.598,0.036216646801103515,1e-06
